Cenario,BandA,BandB,RTTA,RTTB,Sent,Retrans,Lost,Time
1,0.465,3.674,0.0991,0.0991,15829,45,17,44.576652735
2,0.578,3.237,0.0996,0.0996,15810,3,0,47.104485958
3,0.773,3.627,0.0901,0.0901,15841,45,20,40.101995113
4,0.879,4.817,0.8239,0.8239,15770,3,0,31.405303135
5,0.961,4.874,0.0895,0.0895,15788,27,0,30.078376219
6,0.990,3.787,0.0877,0.0877,15778,28,1,36.585820413
7,1.154,4.793,0.0942,0.0942,15801,26,0,29.822006779
8,1.160,3.270,0.0824,0.0824,15801,44,18,39.562213513
9,1.229,4.456,0.0830,0.0830,15848,1,0,31.047502346
10,1.619,4.822,0.0888,0.0888,15829,30,0,27.203909479
11,1.677,3.420,0.0802,0.0802,15850,29,0,34.184052547
12,1.697,4.961,0.0868,0.0868,15784,30,1,26.291567204
13,1.721,4.545,0.0886,0.0886,15856,26,0,27.839626159
14,1.922,4.498,0.0986,0.0986,15865,27,0,27.169975647
15,2.088,3.354,0.0918,0.0918,15852,50,22,32.038880999
16,2.243,4.675,0.1115,0.1115,15848,2,0,25.160091338
17,2.272,3.311,0.0886,0.0886,15809,2,0,31.198402928
18,2.274,4.828,0.0884,0.0884,15814,26,0,24.567956384
19,2.480,3.814,0.0940,0.0940,15855,31,1,27.61743919
20,2.584,3.557,0.9793,0.9793,15914,31,1,28.277309436
21,2.598,4.376,0.0884,0.0884,15852,1,0,25.029290327
22,2.653,3.448,0.0989,0.0989,15848,1,0,28.508519197
23,2.675,4.744,0.0870,0.0870,15855,26,0,23.468679736
24,2.774,4.114,0.9597,0.9597,15825,2,0,25.294459183
25,2.984,3.893,0.0815,0.0815,15882,44,17,25.319967021
26,3.237,0.578,0.0956,0.0956,15815,26,0,47.011927113
27,3.270,1.160,0.8753,0.8753,15845,26,0,39.302202709
28,3.311,2.272,0.0961,0.0961,15846,29,2,31.103589277
29,3.354,2.088,0.0922,0.0922,15870,51,24,31.901742963
30,3.420,1.677,0.0863,0.0863,15850,27,0,34.074582035
31,3.448,2.653,0.0920,0.0920,15901,39,12,28.405966203
32,3.557,2.584,0.0898,0.0898,15841,1,0,28.267762643
33,3.627,0.773,0.7843,0.7843,15838,40,13,39.962595194
34,3.674,0.465,0.4658,0.4658,15787,27,1,43.025092805
35,3.787,0.990,0.0766,0.0766,15774,2,0,36.783696928
36,3.814,2.480,0.0901,0.0901,15828,1,0,27.535499662
37,3.893,2.984,0.0917,0.0917,15840,0,0,25.176822486
38,4.114,2.774,0.0847,0.0847,15852,27,0,25.217569322
39,4.376,2.598,0.0781,0.0781,15864,30,1,24.898409824
40,4.456,1.229,0.0993,0.0993,15852,1,0,31.010797398
41,4.498,1.922,0.0782,0.0782,15878,32,5,27.130681941
42,4.545,1.721,0.7362,0.7362,15862,30,0,28.040257912
43,4.675,2.243,0.1025,0.1025,15886,32,2,25.115226219
44,4.744,2.675,0.0972,0.0972,15865,27,0,23.442920389
45,4.793,1.154,0.0988,0.0988,15796,1,0,29.61314234
46,4.817,0.879,0.0798,0.0798,15782,26,0,31.504673466
47,4.822,1.619,0.1011,0.1011,15805,27,0,27.151314321
48,4.828,2.274,0.0773,0.0773,15816,2,1,24.403552349
49,4.874,0.961,0.0985,0.0985,15789,26,0,30.327676839
50,4.961,1.697,0.0955,0.0955,15812,36,9,26.317727529
51,0.465,3.674,0.9470,0.9470,15802,1,0,44.844017213
52,0.578,3.237,0.1009,0.1009,15826,44,17,46.574142497
53,0.773,3.627,0.0862,0.0862,15835,4,2,39.834697833
54,0.879,4.817,0.7734,0.7734,15790,27,0,31.57650661
55,0.961,4.874,0.0981,0.0981,15757,27,0,30.436267074
56,0.990,3.787,0.0831,0.0831,15825,50,23,36.96627474
57,1.154,4.793,0.0980,0.0980,15808,27,0,29.43846067
58,1.160,3.270,0.0965,0.0965,15812,27,0,39.351891081
59,1.229,4.456,0.0848,0.0848,15884,55,28,31.008761311
60,1.619,4.822,0.1028,0.1028,15845,37,11,27.041828835
61,1.677,3.420,0.6438,0.6438,15844,22,20,34.449589575
62,1.697,4.961,0.10158,0.10158,15789,27,0,26.286442569
63,1.721,4.545,0.1058,0.1058,15863,27,0,27.897851911
64,1.922,4.498,0.0866,0.0866,15871,27,0,27.229821594
65,2.088,3.354,0.1107,0.1107,15803,26,0,31.975993781
66,2.243,4.675,0.0895,0.0895,15875,51,21,25.158852057
67,2.272,3.311,0.0855,0.0855,15868,30,0,31.079315685
68,2.274,4.828,0.0961,0.0961,15818,0,0,24.540873501
69,2.480,3.814,0.0918,0.0918,15833,26,0,27.609243188
70,2.584,3.557,0.8241,0.8241,15897,47,20,28.242040769
71,2.598,4.376,0.0894,0.0894,15860,44,14,24.994731136
72,2.653,3.448,0.1007,0.1007,15857,27,0,28.465177707
73,2.675,4.744,0.0743,0.0743,15869,2,0,23.542254411
74,2.774,4.114,0.0922,0.0922,15827,29,2,25.213454909
75,2.984,3.893,0.0849,0.0849,15882,5,1,25.350965574
76,3.237,0.578,0.0986,0.0986,15822,28,0,46.318253888
77,3.270,1.160,0.10621,0.10621,15838,26,0,39.258856844
78,3.311,2.272,0.8480,0.8480,15824,27,0,31.10954075
79,3.354,2.088,0.0906,0.0906,15865,26,0,31.907794319
80,3.420,1.677,0.0892,0.0892,15831,27,0,34.129322448
81,3.448,2.653,0.0984,0.0984,15878,50,23,28.505379909
82,3.557,2.584,0.1128,0.1128,15866,27,0,28.247644709
83,3.627,0.773,0.0939,0.0939,15824,31,5,40.205647088
84,3.674,0.465,0.9061,0.9061,15809,27,0,43.369424626
85,3.787,0.990,0.0811,0.0811,15831,2,0,36.996828668
86,3.814,2.480,0.0740,0.0740,15885,41,11,27.669442956
87,3.893,2.984,0.0990,0.0990,15905,27,0,25.212110493
88,4.114,2.774,0.8516,0.8516,15875,41,14,25.259043746
89,4.376,2.598,0.0803,0.0803,15857,40,13,25.029546009
90,4.456,1.229,0.0867,0.0867,15880,51,24,30.801153413
91,4.498,1.922,0.0858,0.0858,15864,27,0,27.232443682
92,4.545,1.721,0.0885,0.0885,15876,27,0,27.740077723
93,4.675,2.243,0.1003,0.1003,15851,27,0,25.169221522
94,4.744,2.675,0.0854,0.0854,15838,5,1,23.392120136
