Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.0864,33093,15491,15491,377.813508465
2,0.578,0.0928,28200,10984,10984,301.581572222
3,0.773,0.0870,28069,11227,11227,225.09014901
4,0.879,0.0854,23559,6733,6733,197.751916498
5,0.961,0.0825,23326,6629,6629,181.672026916
6,0.990,0.0867,31105,14320,14320,175.770272821
7,1.154,0.0824,27866,11156,11156,150.700733237
8,1.160,0.0849,27832,11146,11146,149.864825405
9,1.229,0.0955,22895,6424,6424,141.229823502
10,1.619,0.0899,19695,3414,3414,107.070590189
11,1.677,0.0756,19493,3238,3238,103.347816204
12,1.697,0.0976,19458,3212,3212,102.121521359
13,1.721,0.0801,19602,3309,3309,100.683348462
14,1.922,0.0884,18380,2181,2181,90.117136674
15,2.088,0.0874,19621,3506,3506,82.954883167
16,2.243,0.0905,19159,3135,3135,77.20257921
17,2.272,0.0760,19202,3154,3154,76.223786168
18,2.274,0.0745,19267,3236,3236,76.145718073
19,2.480,0.17403,17963,2095,2095,69.77472625
20,2.584,0.0977,17746,1898,1898,66.971855092
21,2.598,0.0995,17773,1945,1945,66.582505294
22,2.653,0.5946,17886,2022,2022,65.2250382
23,2.675,0.5915,17834,1986,1986,64.659145787
24,2.774,0.0829,17472,1668,1668,62.345892455
25,2.984,0.1049,17482,1688,1688,57.961931533
26,3.237,0.8930,17287,1487,1487,53.423114571
27,3.270,0.6857,17221,1425,1425,52.880572143
28,3.311,0.1034,17997,2144,2144,52.244150991
29,3.354,0.0836,17915,2093,2093,51.567083697
30,3.420,0.0771,17118,1314,1314,50.573329773
31,3.448,0.0964,17075,1277,1277,50.161185261
32,3.557,0.0888,17652,1819,1819,48.635000968
33,3.627,0.0703,17470,1679,1679,47.693354649
34,3.674,0.0822,17761,1851,1851,47.083961559
35,3.787,0.1041,17602,1781,1781,45.678226434
36,3.814,0.0750,17393,1621,1621,45.328571764
37,3.893,0.0851,17410,1601,1601,44.428877843
38,4.114,0.0982,17302,1481,1481,42.037096869
39,4.376,0.8143,17503,1592,1592,39.533455107
40,4.456,0.0964,17176,1277,1277,38.808255438
41,4.498,0.1003,17447,1563,1563,38.455160395
42,4.545,0.0802,17202,1248,1248,38.056949518
43,4.675,0.1033,17362,1445,1445,36.994941444
44,4.744,0.1040,17141,1272,1272,36.451544756
45,4.793,0.0934,17091,1245,1245,36.074622748
46,4.817,0.0894,17156,1333,1333,35.892985617
47,4.822,0.8596,17177,1347,1347,35.857449205
48,4.828,0.3343,17201,1366,1366,35.81325819
49,4.874,0.0858,17168,1347,1347,35.473439224
50,4.961,0.0840,17163,1330,1330,34.854511602
51,0.465,0.0869,32562,14959,14959,378.022124674
52,0.578,0.0867,28286,11061,11061,301.632185424
53,0.773,0.0826,28032,11201,11201,225.069148931
54,0.879,0.0922,30496,13695,13695,197.996703246
55,0.961,0.0999,31325,14462,14462,181.125523917
56,0.990,0.0882,27190,10430,10430,176.362574021
57,1.154,0.0891,27861,11146,11146,150.687620615
58,1.160,0.0955,20497,4001,4001,149.581745953
59,1.229,0.0835,20424,3990,3990,141.177983292
60,1.619,0.8085,19673,3394,3394,107.066047706
61,1.677,0.0850,19531,3275,3275,103.348774669
62,1.697,0.1019,19470,3233,3233,102.127775781
63,1.721,0.0967,19417,3204,3204,100.670703115
64,1.922,0.0871,18270,2069,2069,90.102731036
65,2.088,0.0897,19569,3445,3445,82.967226396
66,2.243,0.0837,19228,3193,3193,77.206304208
67,2.272,0.0787,19190,3137,3137,76.228729352
68,2.274,0.0943,19423,3276,3276,76.148845578
69,2.480,0.0803,17896,2033,2033,69.782522938
70,2.584,0.0953,17933,2076,2076,66.968816887
71,2.598,0.0550,17875,2047,2047,66.601028311
72,2.653,0.7375,17767,1923,1923,65.207055476
73,2.675,0.0971,17739,1901,1901,64.669273337
74,2.774,0.0741,17606,1797,1797,62.36723639
75,2.984,0.0748,17288,1483,1483,57.963869045
76,3.237,0.0998,17278,1477,1477,53.422624275
77,3.270,0.9013,17074,1280,1280,52.887225485
78,3.311,0.0782,17191,1387,1387,52.230375363
79,3.354,0.0809,18006,2141,2141,51.575215265
80,3.420,0.0893,18104,2298,2298,50.588229198
81,3.448,0.0874,17055,1254,1254,50.160759408
82,3.557,0.0906,17651,1825,1825,48.63291217
83,3.627,0.0951,17462,1669,1669,47.692476791
84,3.674,0.0887,17540,1719,1719,47.087128502
