eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
378.87,19.26,276.29,11.80
434.31,12.07,315.92,9.66
433.45,13.10,315.71,8.65
434.40,13.26,315.49,8.76
433.70,13.13,315.41,8.58
435.08,13.13,314.84,8.60
433.83,13.05,315.27,8.79
433.60,12.73,315.44,8.75
435.34,13.11,315.54,8.76
434.24,13.17,315.42,8.64
433.52,13.11,316.07,8.81
433.71,12.80,315.45,8.61
434.42,13.14,314.75,8.57
435.09,13.05,316.00,8.68
434.07,13.29,314.73,8.65
434.34,13.06,315.07,8.65
434.22,13.30,315.33,8.58
434.04,13.06,315.76,8.67
434.40,13.31,315.87,8.48
433.64,13.25,315.54,8.51
434.73,13.07,315.15,8.70
433.79,12.80,315.98,8.80
434.20,13.47,314.98,8.61
434.74,13.00,315.85,8.62
434.03,13.18,314.90,8.53
434.26,12.92,315.42,8.70
433.07,13.30,316.02,8.53
435.29,13.01,315.16,8.56
