Cenario,BandA,BandB,RTTA,RTTB,SentA,SentB,Sent,Retrans,Lost,Time
1,0.465,3.674,0.0907,0.0907,1937,14048,15985,163,161,43.961792331
2,0.578,3.237,0.0920,0.0920,2551,13901,16452,592,566,46.798980937
3,0.773,3.627,0.0985,0.0985,2828,13532,16360,521,494,40.23472117
4,0.879,4.817,0.3542,0.3542,2582,13760,16342,521,494,31.021033109
5,0.961,4.874,0.0898,0.0898,2814,13166,15980,210,182,30.547011819
6,0.990,3.787,0.0800,0.0800,3404,12809,16213,325,321,36.556625451
7,1.154,4.793,0.0847,0.0847,3167,13121,16288,505,503,29.641333905
8,1.160,3.270,0.0741,0.0741,4266,12068,16334,471,437,39.208567416
9,1.229,4.456,0.0806,0.0806,3529,12933,16462,601,574,30.652719096
10,1.619,4.822,0.0968,0.0968,4112,12001,16113,244,244,26.947536592
11,1.677,3.420,0.8779,0.8779,5222,10687,15909,66,39,34.091950105
12,1.697,4.961,0.9433,0.9433,4130,12290,16420,576,574,26.404729764
13,1.721,4.545,0.0890,0.0890,4375,11847,16222,392,360,27.737372401
14,1.922,4.498,0.0843,0.0843,4961,11355,16316,422,395,27.079812792
15,2.088,3.354,0.0903,0.0903,6321,9832,16153,326,299,32.486404798
16,2.243,4.675,0.7484,0.7484,5469,11022,16491,631,599,25.120984844
17,2.272,3.311,0.0916,0.0916,6549,9759,16308,445,444,31.20524726
18,2.274,4.828,0.0793,0.0793,5252,11280,16532,719,689,25.725940822
19,2.480,3.814,0.0834,0.0834,6258,9726,15984,138,111,27.548736928
20,2.584,3.557,0.0796,0.0796,6719,9464,16183,254,227,28.21878749
21,2.598,4.376,0.0764,0.0764,6078,10156,16234,330,324,25.018341443
22,2.653,3.448,0.0807,0.0807,6930,9119,16049,191,164,28.403848674
23,2.675,4.744,0.0864,0.0864,5803,10431,16234,330,327,23.357699283
24,2.774,4.114,0.8177,0.8177,6497,9977,16474,567,540,25.348841212
25,2.984,3.893,0.0796,0.0796,7310,9117,16427,535,529,25.292633246
