Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.8452,17617,533,533,373.566685852
2,0.578,0.0832,17305,477,477,300.209830496
3,0.773,0.0869,16776,152,152,224.233925567
4,0.879,0.0950,17234,541,539,197.30708134
5,0.961,0.0807,17553,694,692,180.576583902
6,0.990,0.0852,17294,435,433,175.81698541
7,1.154,0.0821,17024,454,454,150.202759058
8,1.160,0.0758,16983,430,428,149.398230865
9,1.229,0.0847,16981,467,465,141.001403548
10,1.619,0.0886,16861,505,505,106.987882019
11,1.677,0.0816,16183,25,25,103.156046126
12,1.697,0.0833,16411,142,140,101.995842952
13,1.721,0.0879,16438,174,174,100.578310547
14,1.922,0.0908,17166,719,717,90.161972706
15,2.088,0.0825,16820,590,590,83.431968679
16,2.243,0.0927,16666,581,580,77.680219714
17,2.272,0.0812,16253,250,248,76.128857604
18,2.274,0.5131,16497,460,460,76.087104328
19,2.480,0.0894,15953,107,107,69.70144552
20,2.584,0.0834,16155,236,234,66.92238764
21,2.598,0.0879,16536,446,446,66.616945419
22,2.653,0.8180,16141,195,195,65.184467398
23,2.675,0.0802,16477,399,397,64.685818037
24,2.774,0.0893,16289,340,340,62.349496328
25,2.984,0.0828,16866,730,727,58.587586777
26,3.237,0.0893,16694,588,588,53.472209709
27,3.270,0.0712,16369,440,438,52.893654152
28,3.311,0.0873,16581,618,616,52.254709493
29,3.354,0.0872,15769,24,24,51.513331879
30,3.420,0.0849,15826,42,42,50.526037027
31,3.448,0.0859,16046,118,118,50.145044248
32,3.557,0.0898,16148,217,217,48.614498751
33,3.627,0.0848,16620,574,572,47.71195598
34,3.674,0.0809,15933,76,76,47.046126649
35,3.787,0.0739,16209,274,274,45.665856453
36,3.814,0.0826,15952,100,98,45.320213484
37,3.893,0.0961,16279,362,362,44.424163357
38,4.114,0.0841,16828,699,699,42.085990502
39,4.376,0.8353,16167,203,203,39.520688281
40,4.456,0.9837,16490,537,537,38.821757906
41,4.498,0.0865,16191,256,256,38.447100666
42,4.545,0.0812,16391,454,452,38.055572041
43,4.675,0.0863,16730,629,627,37.244782015
44,4.744,0.0889,16225,287,285,36.455540151
45,4.793,0.0924,16555,456,454,36.165705981
46,4.817,0.0808,16527,507,507,35.9204063
47,4.822,0.0890,16135,200,198,35.859260884
48,4.828,0.7125,16804,704,704,35.866969817
49,4.874,0.0914,15882,64,62,35.458134737
50,4.961,0.0752,16604,659,658,35.892231651
51,0.465,0.0876,17435,520,518,373.807890215
52,0.578,0.0926,17313,455,455,300.271496943
53,0.773,0.0816,16742,141,141,224.225255636
54,0.879,0.0871,17102,490,490,197.24876195
55,0.961,0.0834,17589,707,707,180.590054645
56,0.990,0.0747,17103,421,419,175.150636924
57,1.154,0.1075,16971,408,408,150.20137845
58,1.160,0.0765,16971,413,411,149.402784226
59,1.229,0.0856,16984,457,455,141.01162175
60,1.619,0.0872,17056,506,504,107.055926931
61,1.677,0.0902,16221,28,28,103.589815811
62,1.697,0.0806,16367,151,151,101.977616574
63,1.721,0.5470,16489,198,196,100.587065082
64,1.922,0.0873,16974,697,697,90.109580573
65,2.088,0.0888,16988,585,585,82.972368474
66,2.243,0.0882,16702,686,683,77.659699795
67,2.272,0.0769,16261,230,230,76.137975536
68,2.274,0.0837,16560,460,460,76.106356899
69,2.480,0.0850,16069,141,141,69.724043605
70,2.584,0.8809,16168,241,241,66.924379826
71,2.598,0.7371,16435,461,461,66.584447493
72,2.653,0.9939,16190,257,257,65.186035799
73,2.675,0.0790,16307,351,351,64.656064499
74,2.774,0.0766,16264,323,323,62.346575406
75,2.984,0.1023,16829,706,706,58.014883589
76,3.237,0.0796,16627,575,575,53.525826892
77,3.270,0.9276,16407,463,461,52.89678732
78,3.311,0.0776,16725,612,610,52.278090509
79,3.354,0.0891,15802,35,33,51.516155956
80,3.420,0.0849,15874,52,52,50.533492596
81,3.448,0.0916,16050,148,148,50.14128931
82,3.557,0.0917,16131,190,190,48.611594531
83,3.627,0.0817,16609,583,583,47.711177821
84,3.674,0.0890,15911,84,84,47.042053306
85,3.787,0.0832,16218,286,286,45.664431529
86,3.814,0.0782,15931,107,105,45.316526745
87,3.893,0.4302,16418,367,365,44.444818519
88,4.114,0.0782,16658,667,667,42.060626812
89,4.376,0.0845,16152,228,228,39.516138838
90,4.456,0.0748,16552,565,565,38.829610747
91,4.498,0.0913,16189,250,250,38.447534103
92,4.545,0.0835,16354,442,442,38.054106342
93,4.675,0.4817,16530,577,575,37.005026074
94,4.744,0.0732,16231,302,300,36.465241299
95,4.793,0.0829,16475,473,473,36.121461207
96,4.817,0.0952,16614,531,531,35.931065735
97,4.822,0.0801,16111,180,180,35.860191143
98,4.828,0.0687,16893,777,774,35.949564525
99,4.874,0.0807,15879,59,59,35.457359389
100,4.961,0.0931,16624,673,673,34.875942528
101,0.465,0.0851,17526,529,528,373.444758183
102,0.578,0.0830,17315,487,485,300.217858585
103,0.773,0.0878,16788,160,160,225.109249466
104,0.879,0.0889,17115,521,519,197.237237764
105,0.961,0.1018,17380,695,695,180.464798459
106,0.990,0.0794,17146,437,437,175.406838783
107,1.154,0.0918,17179,428,426,150.28719351
108,1.160,0.0844,17158,437,435,149.496857755
109,1.229,0.0882,17054,476,473,141.544268066
110,1.619,0.0819,16863,516,516,106.984510882
111,1.677,0.0863,21016,4806,4806,103.371820882
112,1.697,0.0905,16452,135,135,102.093201104
113,1.721,0.7828,16466,191,189,100.585672191
114,1.922,0.0846,16989,732,732,90.11114597
115,2.088,0.0770,16976,589,589,82.978530342
116,2.243,0.0832,16665,620,618,77.321505645
117,2.272,0.0897,16260,224,222,76.131794393
118,2.274,0.5063,16501,493,491,76.589590278
119,2.480,0.0929,15990,114,114,69.708611379
120,2.584,0.0823,16124,205,202,67.425409685
121,2.598,0.5217,16443,457,457,66.589680772
122,2.653,0.0812,16152,210,208,65.183152233
123,2.675,0.0860,16334,379,377,64.661311116
124,2.774,0.0828,16271,316,314,62.348773997
125,2.984,0.0870,16863,736,736,58.033788465
126,3.237,0.0678,16671,572,569,53.760111129
127,3.270,0.3342,16431,425,425,52.908459351
128,3.311,0.0881,16544,618,618,52.753929685
129,3.354,0.0689,15819,24,24,51.521610199
130,3.420,0.0777,15849,44,44,50.527172213
131,3.448,0.0819,16059,139,137,50.145745725
132,3.557,0.0848,16138,212,210,48.613869539
133,3.627,0.1022,16576,586,586,47.703833867
134,3.674,0.0710,15938,84,84,47.046459359
135,3.787,0.0908,16315,308,306,45.679109851
136,3.814,0.0776,16036,105,105,45.331860602
137,3.893,0.0743,16320,359,357,44.429783803
138,4.114,0.0727,16873,742,742,42.082268768
139,4.376,0.4928,16179,223,223,39.520921579
140,4.456,0.19993,16550,576,576,38.827277296
141,4.498,0.0797,16174,245,245,38.446586723
142,4.545,0.0886,16440,477,476,38.708372312
143,4.675,0.0922,16540,580,578,37.008707635
144,4.744,0.0739,16276,301,301,36.461363335
145,4.793,0.0901,16542,493,491,36.149356811
146,4.817,0.0933,16432,495,495,35.909917312
147,4.822,0.0834,16126,189,187,35.86120816
148,4.828,0.0921,16730,775,771,36.086155902
149,4.874,0.0819,15875,64,62,35.455860039
150,4.961,0.0812,16572,609,606,34.976670299
151,0.465,0.7747,17551,544,544,373.466753336
152,0.578,0.0930,17320,480,480,300.231755161
153,0.773,0.0879,16755,146,146,224.227588196
154,0.879,0.0993,17418,582,580,197.410049591
155,0.961,0.0681,17571,700,700,180.57612005
156,0.990,0.0775,17092,429,427,175.134969993
157,1.154,0.0940,17164,476,476,150.508632463
158,1.160,0.0899,17015,448,446,149.427731456
159,1.229,0.0876,17024,428,426,141.045298419
160,1.619,0.0806,16855,504,502,106.981821068
161,1.677,0.0910,16192,23,23,103.161071292
