eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
319.76,16.71,391.81,14.06
324.46,8.82,420.99,12.61
323.95,8.92,419.82,12.58
323.82,8.92,421.11,12.78
322.72,8.83,420.82,12.71
325.04,9.05,421.40,12.55
323.86,8.84,421.12,12.59
323.82,8.75,420.35,12.59
323.63,8.84,420.86,12.80
324.07,8.84,421.02,12.74
322.74,9.76,9.29,0.29
324.22,9.77,0.00,0.00
323.71,9.61,0.00,0.00
323.68,9.58,0.00,0.00
323.91,9.61,0.00,0.00
323.73,9.73,0.00,0.00
323.99,9.50,0.00,0.00
324.02,9.68,0.00,0.00
323.62,9.43,0.00,0.00
323.90,9.47,0.00,0.00
323.70,9.63,0.00,0.00
324.96,9.54,0.00,0.00
323.89,9.58,0.00,0.00
323.80,9.70,0.00,0.00
323.97,9.57,0.00,0.00
323.78,9.39,0.00,0.00
323.82,9.50,0.00,0.00
323.85,9.47,0.00,0.00
323.86,9.49,0.00,0.00
323.89,9.65,0.00,0.00
322.78,9.57,0.00,0.00
324.01,9.50,0.00,0.00
323.85,9.40,0.00,0.00
324.06,9.62,0.00,0.00
323.96,9.42,0.00,0.00
324.16,9.79,0.07,0.00
324.13,9.49,0.00,0.00
322.96,9.56,0.00,0.00
323.89,9.57,0.00,0.00
324.12,9.39,0.00,0.00
323.87,9.40,0.00,0.00
324.34,9.45,0.00,0.00
323.95,9.42,0.00,0.00
322.68,9.41,0.00,0.00
324.29,9.52,0.00,0.00
324.58,9.61,0.00,0.00
322.86,9.43,0.00,0.00
324.35,9.55,0.00,0.00
324.36,9.65,0.00,0.00
323.09,9.55,0.00,0.00
323.94,9.55,0.00,0.00
324.57,9.53,0.00,0.00
