Cenario,BandA,BandB,RTTA,RTTB,SentA,SentB,Sent,Retrans,Lost,Time
1,0.465,3.674,0.0870,0.0870,15074,2532,17606,522,486,317.150137601
2,0.578,3.237,0.0988,0.0988,14796,2514,17310,550,515,256.874402234
3,0.773,3.627,0.0762,0.0762,13838,2973,16811,278,248,185.216934785
4,0.879,4.817,0.1057,0.1057,12567,4392,16959,650,631,146.172115922
5,0.961,4.874,0.0794,0.0794,12836,4068,16904,605,596,135.472249701
6,0.990,3.787,0.0930,0.0930,13289,3411,16700,393,363,138.931296492
7,1.154,4.793,0.0773,0.0773,12377,4314,16691,506,464,111.899336177
8,1.160,3.270,0.0948,0.0948,13655,3112,16767,521,487,121.985316227
9,1.229,4.456,0.0839,0.0839,12560,4190,16750,587,543,107.094497092
10,1.619,4.822,0.0887,0.0887,12043,4464,16507,448,418,77.758590972
11,1.677,3.420,0.0983,0.0983,12961,3195,16156,103,73,82.986723427
12,1.697,4.961,0.0846,0.0846,11801,4549,16350,319,288,74.247815254
13,1.721,4.545,0.0781,0.0781,12135,4203,16338,321,292,75.175667236
14,1.922,4.498,0.0734,0.0734,12418,4194,16612,565,559,67.223466825
15,2.088,3.354,0.0835,0.0835,13550,3017,16567,518,515,67.380751839
16,2.243,4.675,0.0751,0.0751,12275,4340,16615,639,635,57.389255473
17,2.272,3.311,0.0884,0.0884,13297,3042,16339,363,334,63.045271052
18,2.274,4.828,0.0882,0.0882,12026,4488,16514,568,537,55.849003791
19,2.480,3.814,0.0872,0.0872,12561,3432,15993,137,134,54.891416658
20,2.584,3.557,0.0805,0.0805,12927,3143,16070,233,230,54.549328399
21,2.598,4.376,0.0857,0.0857,12162,4122,16284,420,393,49.822280886
22,2.653,3.448,0.0888,0.0888,12872,3223,16095,218,213,52.256359391
23,2.675,4.744,0.0834,0.0834,11868,4457,16325,421,391,47.241672715
24,2.774,4.114,0.9169,0.9169,12384,4003,16387,463,434,47.738606896
25,2.984,3.893,0.4128,0.4128,12825,3692,16517,623,592,45.323820046
26,3.237,0.578,0.0864,0.0864,15938,581,16519,648,619,53.585744056
27,3.270,1.160,0.1003,0.1003,15202,1107,16309,451,448,49.749186087
28,3.311,2.272,0.0923,0.0923,14286,2147,16433,563,534,45.672122217
29,3.354,2.088,0.0932,0.0932,13871,2049,15920,141,112,45.402301051
30,3.420,1.677,0.0818,0.0818,14299,1602,15901,126,95,45.750442409
31,3.448,2.653,0.0825,0.0825,13420,2545,15965,178,149,42.48419404
32,3.557,2.584,0.0713,0.0713,13693,2390,16083,224,219,41.457804336
33,3.627,0.773,0.0840,0.0840,15675,759,16434,587,556,46.707330764
34,3.674,0.465,0.0823,0.0823,15499,502,16001,165,136,48.670565561
35,3.787,0.990,0.0852,0.0852,15152,965,16117,286,283,43.303734861
36,3.814,2.480,0.0869,0.0869,13590,2366,15956,161,132,38.893453574
37,3.893,2.984,0.0896,0.0896,13366,2935,16301,447,418,36.873203006
38,4.114,2.774,0.4015,0.4015,13967,2589,16556,643,614,35.420466145
39,4.376,2.598,0.0788,0.0788,13716,2472,16188,280,251,33.6420729
40,4.456,1.229,0.0813,0.0813,15317,1146,16463,577,546,37.365898415
41,4.498,1.922,0.0974,0.0974,14431,1800,16231,364,335,34.505473273
42,4.545,1.721,0.0685,0.0685,14691,1665,16356,487,458,34.439068695
43,4.675,2.243,0.0760,0.0760,14252,2196,16448,621,594,32.308902646
44,4.744,2.675,0.0939,0.0939,13670,2526,16196,337,308,30.903051155
45,4.793,1.154,0.0863,0.0863,15191,1131,16322,506,503,34.227249261
46,4.817,0.879,0.0877,0.0877,15466,830,16296,509,479,35.964612112
47,4.822,1.619,0.0899,0.0899,14514,1567,16081,304,275,32.610408347
48,4.828,2.274,0.0782,0.0782,14497,2086,16583,750,721,31.746152793
49,4.874,0.961,0.0872,0.0872,15001,966,15967,166,137,34.730659172
50,4.961,1.697,0.0841,0.0841,14802,1655,16457,652,623,31.692093681
51,0.465,3.674,0.0787,0.0787,14790,2730,17520,470,463,312.2644308
52,0.578,3.237,0.0969,0.0969,14621,2698,17319,607,563,253.822072159
53,0.773,3.627,0.0876,0.0876,13647,3085,16732,265,237,183.032931257
54,0.879,4.817,0.4764,0.4764,12634,4299,16933,619,582,147.085626035
55,0.961,4.874,0.0865,0.0865,12693,4180,16873,581,572,134.361514193
56,0.990,3.787,0.4835,0.4835,13541,3295,16836,480,448,141.022572219
57,1.154,4.793,0.0963,0.0963,12438,4270,16708,501,487,112.056218942
58,1.160,3.270,0.0882,0.0882,13694,3046,16740,484,455,122.342370638
59,1.229,4.456,0.0936,0.0936,12735,3990,16725,533,518,108.080206541
60,1.619,4.822,0.0940,0.0940,12037,4491,16528,513,483,77.861515975
61,1.677,3.420,0.0769,0.0769,12966,3196,16162,97,68,83.024431744
62,1.697,4.961,0.0980,0.0980,11855,4490,16345,324,318,74.570939658
63,1.721,4.545,0.0968,0.0968,12262,4103,16365,313,308,75.887820913
64,1.922,4.498,0.0843,0.0843,12448,4198,16646,656,619,67.377920851
65,2.088,3.354,0.4494,0.4494,13584,2980,16564,512,507,67.839926202
66,2.243,4.675,0.0921,0.0921,12280,4320,16600,624,615,57.68281566
67,2.272,3.311,0.0705,0.0705,13208,3124,16332,362,332,62.146335221
68,2.274,4.828,0.0838,0.0838,12027,4499,16526,565,535,56.046296052
69,2.480,3.814,0.0843,0.0843,12548,3454,16002,156,153,55.017164855
70,2.584,3.557,0.0904,0.0904,12798,3318,16116,251,220,53.255699725
71,2.598,4.376,0.0964,0.0964,12300,4053,16353,474,442,50.208997043
72,2.653,3.448,0.0767,0.0767,12958,3141,16099,214,209,52.653760411
73,2.675,4.744,0.0927,0.0927,12358,3914,16272,371,368,50.345532879
74,2.774,4.114,0.4817,0.4817,12503,3858,16361,452,447,48.21588589
75,2.984,3.893,0.0834,0.0834,12840,3711,16551,668,639,45.103323681
76,3.237,0.578,0.0840,0.0840,15898,637,16535,628,624,52.321957304
77,3.270,1.160,0.4161,0.4161,15172,1106,16278,424,419,49.818196124
78,3.311,2.272,0.3877,0.3877,14394,2106,16500,603,596,45.807687201
79,3.354,2.088,0.0922,0.0922,13842,2055,15897,98,92,45.358295586
80,3.420,1.677,0.0803,0.0803,14323,1556,15879,125,97,45.945932279
81,3.448,2.653,0.0977,0.0977,13552,2456,16008,169,164,42.696606697
82,3.557,2.584,0.0736,0.0736,13723,2427,16150,246,215,41.435760581
83,3.627,0.773,0.4664,0.4664,15661,769,16430,606,577,46.893040651
84,3.674,0.465,0.0938,0.0938,15503,432,15935,149,120,48.131885131
85,3.787,0.990,0.0901,0.0901,15156,1020,16176,344,315,43.694891392
86,3.814,2.480,0.0854,0.0854,13681,2312,15993,167,137,38.958238342
87,3.893,2.984,0.0941,0.0941,13368,2913,16281,441,413,36.951957161
88,4.114,2.774,0.0949,0.0949,13978,2587,16565,668,664,35.555230073
89,4.376,2.598,0.0757,0.0757,13797,2347,16144,265,262,34.57949965
90,4.456,1.229,0.0744,0.0744,15270,1226,16496,584,579,36.80823326
