Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.0808,17460,507,507,373.396878596
2,0.578,0.0852,17294,447,447,300.227175558
3,0.773,0.0887,16815,171,171,224.262252844
4,0.879,0.0842,17145,530,527,197.740351513
5,0.961,0.0686,17332,657,657,180.46145635
6,0.990,0.0895,17181,420,420,175.190443586
7,1.154,0.0816,16976,424,424,150.193420709
8,1.160,0.0712,17039,482,482,149.504472459
9,1.229,0.0914,17028,440,439,141.540596858
10,1.619,0.5095,16853,521,521,106.969887519
11,1.677,0.0800,16591,430,430,103.195789992
12,1.697,0.0749,16362,133,131,102.484813574
13,1.721,0.0823,16490,202,200,100.587739627
14,1.922,0.0931,17235,753,753,90.182738961
15,2.088,0.0989,16785,535,533,82.92907908
16,2.243,0.0903,16698,666,663,77.240553305
17,2.272,0.0664,16234,226,226,76.129866552
18,2.274,0.0991,16474,450,448,76.086460039
19,2.480,0.0999,16031,115,113,69.713297213
20,2.584,0.0764,16178,241,241,66.926819928
21,2.598,0.0865,16423,476,476,66.584485729
22,2.653,0.3631,16154,211,209,65.183175303
23,2.675,0.0923,16395,360,358,64.682430996
24,2.774,0.0986,16255,324,324,62.348660895
25,2.984,0.0840,16658,684,682,57.984973679
26,3.237,0.9052,16680,562,562,53.497313919
27,3.270,0.1053,16413,457,457,52.899300653
28,3.311,0.0915,16719,592,592,52.280136764
29,3.354,0.0798,15797,35,33,51.515567267
30,3.420,0.0895,15834,45,43,50.525578802
31,3.448,0.0832,15928,98,98,50.127221085
32,3.557,0.0806,16112,196,196,48.609131772
33,3.627,0.1027,16629,577,575,47.78583714
34,3.674,0.0846,15892,87,87,47.038431903
35,3.787,0.0850,16223,285,282,46.174512606
36,3.814,0.0889,15909,87,87,45.314322851
37,3.893,0.0771,16289,352,352,44.426821222
38,4.114,0.4711,16888,760,760,42.082929308
39,4.376,0.0855,16141,206,206,39.517649807
40,4.456,0.4763,16509,559,559,38.833074194
41,4.498,0.0875,16169,237,237,38.602607488
42,4.545,0.0876,16420,465,463,38.059801441
43,4.675,0.3337,16541,568,568,37.008884496
44,4.744,0.0715,16240,297,295,36.455986817
45,4.793,0.0911,16431,491,491,36.09024248
46,4.817,0.4858,16650,529,527,35.930296358
47,4.822,0.0874,16105,189,187,35.857646983
48,4.828,0.0657,16638,686,686,35.847214917
49,4.874,0.0914,15877,59,57,35.458260084
50,4.961,0.0902,16775,666,666,34.935684666
51,0.465,0.0925,17509,509,507,373.444095082
52,0.578,0.0933,17438,506,506,300.321195638
53,0.773,0.0742,16723,129,129,226.144345621
54,0.879,0.0845,17102,504,502,197.245048805
55,0.961,0.0872,17618,705,703,180.729754136
56,0.990,0.0907,17252,424,422,175.716775709
57,1.154,0.0775,16989,415,415,150.200993715
58,1.160,0.0823,17166,466,466,149.646907597
59,1.229,0.0884,17170,458,458,141.10352092
60,1.619,0.27036,16837,486,484,107.027261864
61,1.677,0.0772,17540,1301,1301,104.083219261
62,1.697,0.0839,16445,126,124,102.011719824
63,1.721,0.0849,16478,195,195,100.589182144
64,1.922,0.0726,16986,698,698,90.112613003
65,2.088,0.0922,16931,539,539,82.979919023
66,2.243,0.0764,16718,698,697,77.655917684
67,2.272,0.0943,16256,225,225,76.135615367
68,2.274,0.0866,16566,452,452,76.109283046
69,2.480,0.0786,15983,132,130,69.704371051
70,2.584,0.0907,16166,233,233,66.925007363
71,2.598,0.0962,16405,453,453,66.652292357
72,2.653,0.19391,16182,223,221,65.187915916
73,2.675,0.0918,16336,362,360,64.863139854
74,2.774,0.0918,16240,320,318,62.341095509
75,2.984,0.0865,16812,684,681,58.246521593
76,3.237,0.0819,16687,582,580,53.472875813
77,3.270,0.0944,16446,448,448,52.923851652
78,3.311,0.0812,16574,607,605,52.289399032
79,3.354,0.0780,15786,23,23,51.517185228
80,3.420,0.0857,15861,54,54,50.529717575
81,3.448,0.0857,16021,130,130,50.13944663
82,3.557,0.0902,16143,199,197,48.614426878
83,3.627,0.0811,16525,593,593,47.707907419
84,3.674,0.0903,15982,92,92,47.053427759
85,3.787,0.9614,16246,289,289,45.670746168
86,3.814,0.4185,15946,93,91,45.320481228
87,3.893,0.0826,16303,373,373,44.427673208
88,4.114,0.0838,16849,710,710,42.109930906
89,4.376,0.0903,16159,201,201,39.520137511
90,4.456,0.0801,16492,535,533,38.823998965
91,4.498,0.0794,16205,261,259,38.448255334
92,4.545,0.9059,16399,436,436,38.061262882
93,4.675,0.0884,16664,575,575,37.127498151
94,4.744,0.8928,16196,278,278,36.452856192
95,4.793,0.0887,16447,473,471,36.103632113
96,4.817,0.0807,16550,504,502,36.292515912
97,4.822,0.3698,16059,207,205,35.852123838
98,4.828,0.4407,16711,746,744,35.852490423
