Cenario,BandA,BandB,RTTA,RTTB,Sent,Retrans,Lost,Time
1,0.465,3.674,0.4813,0.4813,17102,83,79,314.760316835
2,0.578,3.237,0.7614,0.7614,16679,98,68,251.616791505
3,0.773,3.627,0.0832,0.0832,16480,76,73,182.358229909
4,0.879,4.817,0.0848,0.0848,16411,104,76,144.759922734
5,0.961,4.874,0.0918,0.0918,16376,116,87,133.20019474
6,0.990,3.787,0.0753,0.0753,16435,98,95,137.593699604
7,1.154,4.793,0.0592,0.0592,16278,84,81,110.151872117
8,1.160,3.270,0.0860,0.0860,16335,105,76,121.523941657
9,1.229,4.456,0.8499,0.8499,16319,128,99,105.307438267
10,1.619,4.822,0.0831,0.0831,16206,139,135,78.39699795
11,1.677,3.420,0.0918,0.0918,16167,104,75,83.082459635
12,1.697,4.961,0.9446,0.9446,16106,114,85,73.136085847
13,1.721,4.545,0.0929,0.0929,16093,105,76,74.512114186
14,1.922,4.498,0.0872,0.0872,16152,125,96,66.913838213
15,2.088,3.354,0.0876,0.0876,16101,95,92,67.549061184
16,2.243,4.675,0.0821,0.0821,16095,150,147,56.87395069
17,2.272,3.311,0.0672,0.0672,16056,106,77,61.723691418
18,2.274,4.828,0.0759,0.0759,16022,106,77,54.957262568
19,2.480,3.814,0.0850,0.0850,15921,101,72,54.508522564
20,2.584,3.557,0.0850,0.0850,15915,93,64,53.205736019
21,2.598,4.376,0.0868,0.0868,15933,97,93,50.341475854
22,2.653,3.448,0.0777,0.0777,15971,113,84,52.401945552
23,2.675,4.744,0.0683,0.0683,15980,129,100,47.190976301
24,2.774,4.114,0.8741,0.8741,16009,131,102,47.765447395
25,2.984,3.893,0.0941,0.0941,15894,99,95,44.863119655
26,3.237,0.578,0.0743,0.0743,15901,67,62,53.890999932
27,3.270,1.160,0.1027,0.1027,15838,86,56,49.483207491
28,3.311,2.272,0.0772,0.0772,15901,137,108,45.452022704
29,3.354,2.088,0.0949,0.0949,15859,91,86,45.562063579
30,3.420,1.677,0.0892,0.0892,15878,90,60,45.727099737
31,3.448,2.653,0.0884,0.0884,15910,138,109,42.491112106
32,3.557,2.584,0.0933,0.0933,15925,105,75,41.460018206
33,3.627,0.773,0.6741,0.6741,15903,58,54,46.771528056
34,3.674,0.465,0.0740,0.0740,15924,98,67,48.453100861
35,3.787,0.990,0.0874,0.0874,15837,58,55,43.813909497
36,3.814,2.480,0.0888,0.0888,15932,156,127,39.051282827
37,3.893,2.984,0.0872,0.0872,15969,185,154,36.79175873
38,4.114,2.774,0.0869,0.0869,15901,113,85,35.530401583
39,4.376,2.598,0.1020,0.1020,15955,100,71,33.662592944
40,4.456,1.229,0.0781,0.0781,15971,115,86,36.406764227
41,4.498,1.922,0.0951,0.0951,15941,97,69,34.272649675
42,4.545,1.721,0.9536,0.9536,15951,99,70,34.326571162
43,4.675,2.243,0.0976,0.0976,15939,103,74,32.272441534
44,4.744,2.675,0.0877,0.0877,15965,107,76,30.874153979
45,4.793,1.154,0.0874,0.0874,15853,57,52,33.810231459
46,4.817,0.879,0.0821,0.0821,15807,64,61,35.636852062
47,4.822,1.619,0.0863,0.0863,15821,72,69,32.706937551
48,4.828,2.274,0.0752,0.0752,15827,77,72,31.194425103
49,4.874,0.961,0.0811,0.0811,15881,87,82,34.924273007
50,4.961,1.697,0.0820,0.0820,15834,100,69,31.57582917
