Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.0819,32726,15083,15083,377.057959558
2,0.578,0.0841,31762,14156,14156,301.836479761
3,0.773,0.0913,28159,11298,11298,225.131715676
4,0.879,0.0792,31592,14747,14747,198.014900943
5,0.961,0.0966,31319,14439,14439,181.120407236
6,0.990,0.0721,30078,13074,13074,175.832515977
7,1.154,0.0841,26583,9989,9989,150.597565818
8,1.160,0.0815,20875,4316,4316,149.563385888
9,1.229,0.0899,20669,4224,4224,141.113646199
10,1.619,0.9663,19690,3430,3430,107.061147671
11,1.677,0.0760,19492,3233,3233,103.347301371
12,1.697,0.0976,19685,3336,3335,102.125953569
13,1.721,0.0877,19275,3090,3090,100.671161805
14,1.922,0.0756,18265,2064,2064,90.101741853
15,2.088,0.0741,19649,3510,3510,82.96713847
16,2.243,0.0859,19183,3081,3081,77.202518397
17,2.272,0.0758,19215,3152,3152,76.217000656
18,2.274,0.0767,19280,3239,3239,76.151683817
19,2.480,0.0883,17966,2111,2111,69.774516882
20,2.584,0.0816,,,,
21,2.598,0.0999,17856,2012,2012,66.574293565
22,2.653,0.0696,17757,1917,1917,65.208664739
23,2.675,0.0861,17813,1971,1971,64.662837726
24,2.774,0.0814,17584,1770,1770,62.355031435
25,2.984,0.0743,17507,1703,1703,57.967997966
26,3.237,0.0867,17278,1478,1478,53.423779758
27,3.270,0.0801,17229,1427,1427,52.885401879
28,3.311,0.0910,17952,2122,2122,52.244823327
29,3.354,0.0919,17832,2000,2000,51.582663014
30,3.420,0.0896,18123,2258,2258,50.59426782
31,3.448,0.3346,18136,2322,2322,50.181245329
32,3.557,0.0952,17639,1806,1806,48.636883188
33,3.627,0.0899,17525,1727,1727,47.692779019
34,3.674,0.0587,17596,1737,1735,47.073581447
35,3.787,0.0781,17970,2126,2126,45.723624916
36,3.814,0.5180,17412,1634,1634,45.346554548
37,3.893,0.0835,17384,1582,1582,44.427995163
38,4.114,0.7741,17641,1795,1795,42.045097106
39,4.376,0.0873,17223,1313,1313,39.521324837
40,4.456,0.0916,17475,1597,1597,38.817906715
41,4.498,0.0894,17466,1588,1588,38.456016133
42,4.545,0.0838,17161,1257,1257,38.05044668
43,4.675,0.9234,17371,1475,1475,36.997790446
44,4.744,0.0741,17165,1279,1279,36.45382229
45,4.793,0.0868,17082,1199,1199,36.081105073
46,4.817,0.0827,17162,1337,1337,35.891551192
47,4.822,0.0923,17175,1348,1348,35.857170348
48,4.828,0.7972,17216,1389,1389,35.813172813
49,4.874,0.0948,17187,1355,1355,35.475841085
50,4.961,0.0967,17121,1286,1286,34.853212436
