Cenario,BandA,BandB,RTTA,RTTB,Sent,Retrans,Lost,Time
1,0.465,3.674,0.0904,0.0904,15789,3,1,43.907481399
2,0.578,3.237,0.6525,0.6525,15828,32,5,48.308716163
3,0.773,3.627,0.0729,0.0729,15805,26,0,40.291317027
4,0.879,4.817,0.9439,0.9439,15791,2,0,31.426400182
5,0.961,4.874,0.0740,0.0740,15760,25,0,30.536418609
6,0.990,3.787,0.0816,0.0816,15784,25,0,36.896815005
7,1.154,4.793,0.1040,0.1040,15796,27,0,29.594651703
8,1.160,3.270,0.0833,0.0833,15848,26,0,39.180811932
9,1.229,4.456,0.0861,0.0861,15859,35,8,31.241514003
10,1.619,4.822,0.0938,0.0938,0,0,0,
11,1.677,3.420,0.0868,0.0868,15849,34,7,34.176171757
12,1.697,4.961,0.8513,0.8513,15777,27,0,26.329051346
13,1.721,4.545,0.0866,0.0866,15859,25,0,27.83256791
14,1.922,4.498,0.0776,0.0776,15858,26,0,27.123346746
15,2.088,3.354,0.8565,0.8565,15873,27,0,31.889016871
16,2.243,4.675,0.0902,0.0902,15822,1,0,25.185154278
17,2.272,3.311,0.0889,0.0889,15834,27,0,31.078565265
18,2.274,4.828,0.0919,0.0919,15784,2,0,24.574756154
19,2.480,3.814,0.0821,0.0821,15854,3,0,27.675064669
20,2.584,3.557,0.8606,0.8606,15863,2,0,28.341983289
21,2.598,4.376,0.0756,0.0756,15861,27,0,24.915805634
22,2.653,3.448,0.0935,0.0935,15843,5,1,28.507944731
23,2.675,4.744,0.0989,0.0989,15861,28,1,23.40896261
24,2.774,4.114,0.8710,0.8710,15824,1,0,25.292515825
25,2.984,3.893,0.0829,0.0829,15876,2,0,25.297171033
26,3.237,0.578,0.8363,0.8363,15804,28,0,46.361706871
27,3.270,1.160,0.0989,0.0989,15821,1,0,39.520369736
28,3.311,2.272,0.11520,0.11520,15815,27,0,31.105127334
29,3.354,2.088,0.0845,0.0845,15843,15,11,32.004416582
30,3.420,1.677,0.0990,0.0990,15845,29,29,34.313219396
31,3.448,2.653,0.0844,0.0844,15861,26,0,28.401567835
32,3.557,2.584,0.0882,0.0882,15828,1,0,28.209617621
33,3.627,0.773,0.4657,0.4657,15829,27,0,39.871696961
34,3.674,0.465,0.0808,0.0808,15805,1,0,44.026343017
35,3.787,0.990,0.1003,0.1003,15806,34,7,37.015295949
36,3.814,2.480,0.0554,0.0554,15827,1,0,27.536083683
37,3.893,2.984,0.0811,0.0811,15895,25,0,25.232624108
38,4.114,2.774,0.1077,0.1077,15857,30,1,25.2180731
39,4.376,2.598,0.0877,0.0877,15852,27,0,24.89936241
40,4.456,1.229,0.0786,0.0786,15853,26,0,30.835789516
41,4.498,1.922,0.0834,0.0834,15880,27,0,27.13028202
42,4.545,1.721,0.0986,0.0986,15872,27,0,27.825181154
43,4.675,2.243,0.0845,0.0845,15885,26,0,25.157101542
44,4.744,2.675,0.0859,0.0859,15874,39,13,23.500741731
45,4.793,1.154,0.1026,0.1026,15815,27,0,29.676324295
46,4.817,0.879,0.0844,0.0844,15806,29,2,30.835482713
47,4.822,1.619,0.0954,0.0954,15866,30,3,27.067749142
48,4.828,2.274,0.0853,0.0853,15859,51,21,24.497665007
49,4.874,0.961,0.0983,0.0983,15804,28,0,30.054910795
50,4.961,1.697,0.0799,0.0799,15804,29,1,26.283524016
51,0.465,3.674,0.0883,0.0883,15783,1,0,44.862237845
52,0.578,3.237,0.6957,0.6957,15804,26,0,47.322422833
53,0.773,3.627,0.0893,0.0893,15806,26,0,40.417536116
54,0.879,4.817,0.0885,0.0885,15787,45,18,31.191989085
55,0.961,4.874,0.0836,0.0836,15776,50,23,30.212951937
56,0.990,3.787,0.0906,0.0906,15852,30,3,36.574629967
57,1.154,4.793,0.0822,0.0822,15796,27,0,29.405013191
58,1.160,3.270,0.0924,0.0924,15845,42,15,39.508501624
59,1.229,4.456,0.0971,0.0971,15829,2,0,31.12637141
60,1.619,4.822,0.1000,0.1000,15835,32,2,27.045921426
61,1.677,3.420,0.0932,0.0932,15820,26,0,34.115821098
62,1.697,4.961,0.8604,0.8604,15782,26,0,26.284404657
63,1.721,4.545,0.0846,0.0846,15843,26,0,27.879069788
64,1.922,4.498,0.0823,0.0823,15864,5,1,27.263273805
65,2.088,3.354,0.1005,0.1005,15808,1,0,32.040981872
66,2.243,4.675,0.0765,0.0765,15859,30,1,25.216142292
67,2.272,3.311,0.0965,0.0965,15811,26,0,31.070716799
68,2.274,4.828,0.0730,0.0730,15816,4,0,24.550952244
69,2.480,3.814,0.0943,0.0943,15844,27,0,27.599721777
70,2.584,3.557,0.0936,0.0936,15912,49,22,28.240673724
71,2.598,4.376,0.0718,0.0718,15867,21,19,25.107586008
72,2.653,3.448,0.1025,0.1025,15845,1,0,28.510017824
73,2.675,4.744,0.1015,0.1015,15866,2,0,23.516705373
74,2.774,4.114,0.0899,0.0899,15800,1,0,25.152760929
75,2.984,3.893,0.9049,0.9049,15894,31,1,25.252048594
76,3.237,0.578,0.4604,0.4604,15836,46,20,47.329599263
77,3.270,1.160,0.7955,0.7955,15910,26,0,39.467350746
78,3.311,2.272,0.9207,0.9207,15843,47,20,31.08924798
79,3.354,2.088,0.7304,0.7304,15857,28,1,31.905510719
80,3.420,1.677,0.0929,0.0929,15906,27,0,34.160044015
81,3.448,2.653,0.0942,0.0942,15916,30,0,28.443054904
82,3.557,2.584,0.0857,0.0857,15861,1,0,28.270676924
83,3.627,0.773,0.0880,0.0880,15818,29,3,40.092717549
84,3.674,0.465,0.0813,0.0813,15920,26,0,44.5203175
85,3.787,0.990,0.1002,0.1002,15822,28,1,36.578234748
86,3.814,2.480,0.0795,0.0795,15881,45,18,27.67931492
87,3.893,2.984,0.0989,0.0989,15877,26,0,25.198883044
88,4.114,2.774,0.0910,0.0910,15842,27,0,25.219959625
89,4.376,2.598,0.0869,0.0869,15902,56,26,25.003637444
90,4.456,1.229,0.0791,0.0791,15869,27,0,30.842857695
91,4.498,1.922,0.0824,0.0824,15861,27,0,27.141212556
92,4.545,1.721,0.0994,0.0994,15869,31,6,27.823501797
93,4.675,2.243,0.0810,0.0810,15850,11,10,25.38681569
94,4.744,2.675,0.0804,0.0804,15865,27,0,23.425693037
95,4.793,1.154,0.0851,0.0851,15798,27,0,29.651059404
96,4.817,0.879,0.0873,0.0873,15862,29,2,30.931128042
97,4.822,1.619,0.0925,0.0925,15783,1,0,27.11780303
98,4.828,2.274,0.0809,0.0809,15806,26,0,24.532666975
99,4.874,0.961,0.1129,0.1129,15792,26,0,30.328596297
100,4.961,1.697,0.1002,0.1002,15770,4,1,26.226557128
