Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.0808,33000,15389,15389,375.545278214
2,0.578,0.0846,28070,10848,10848,301.559953954
3,0.773,0.0894,28283,11415,11415,225.097213524
4,0.879,0.0835,30475,13628,13628,198.041306459
5,0.961,0.0993,21200,4612,4612,181.526192295
6,0.990,0.0953,29717,12680,12680,175.859908993
7,1.154,0.0888,27890,11197,11197,150.678625397
8,1.160,0.0847,20620,4110,4110,149.72654959
9,1.229,0.0891,20738,4304,4304,141.145385535
10,1.619,0.0785,19726,3457,3457,107.072697633
11,1.677,0.0935,19508,3261,3261,103.348124751
12,1.697,0.0865,19618,3318,3318,102.108968043
13,1.721,0.9703,19287,3123,3123,100.658397708
14,1.922,0.0906,18202,1998,1998,90.075497816
15,2.088,0.9356,19555,3443,3443,82.951686388
16,2.243,0.0845,19284,3268,3268,77.19091499
17,2.272,0.0797,19201,3154,3154,76.212517204
18,2.274,0.0967,19129,3103,3103,76.145284374
19,2.480,0.10383,17766,1919,1919,69.781355286
20,2.584,0.0763,17883,2037,2037,66.967248791
21,2.598,0.0862,17782,1941,1941,66.591206554
22,2.653,0.8298,17786,1938,1938,65.208690802
23,2.675,0.0829,17729,1895,1895,64.666990348
24,2.774,0.1002,17690,1816,1816,62.35685351
25,2.984,0.0869,17475,1678,1678,57.965514241
26,3.237,0.8226,17277,1477,1477,53.422598439
27,3.270,0.7844,17223,1418,1418,52.882467687
28,3.311,0.0931,17945,2128,2128,52.236753204
29,3.354,0.7561,17961,2103,2103,51.78955673
30,3.420,0.0873,18168,2357,2357,50.590969323
31,3.448,0.0973,18136,2319,2319,50.178933462
32,3.557,0.0870,17607,1776,1776,48.627824914
33,3.627,0.0783,17546,1739,1739,47.694406975
34,3.674,0.0822,17484,1679,1679,47.08450857
35,3.787,0.0933,17938,2110,2110,45.677958196
36,3.814,0.0994,17422,1649,1649,45.34676271
37,3.893,0.0798,17435,1629,1629,44.431342385
38,4.114,0.10045,17649,1799,1799,42.045672049
39,4.376,0.8563,17492,1580,1580,39.533877088
40,4.456,0.0887,17481,1581,1581,38.82267812
41,4.498,0.1081,17436,1561,1561,38.453921842
42,4.545,0.0970,17228,1339,1339,38.049173234
43,4.675,0.0969,17151,1271,1271,36.987969514
44,4.744,0.0858,17120,1258,1258,36.450069329
45,4.793,0.0851,17058,1224,1224,36.072895217
46,4.817,0.0872,17217,1379,1379,35.89680987
47,4.822,0.8843,17188,1356,1356,35.856687202
48,4.828,0.0791,17197,1371,1371,35.812525817
49,4.874,0.0800,17132,1318,1318,35.473300947
50,4.961,0.1014,17108,1281,1281,34.85238427
51,0.465,0.0845,33012,15382,15382,375.504011212
52,0.578,0.0836,28045,10857,10857,301.547017299
53,0.773,0.0954,28644,11707,11707,225.145510602
54,0.879,0.0963,29900,13029,13029,197.950838898
55,0.961,0.0738,21157,4553,4553,180.807788031
56,0.990,0.0984,31433,14558,14558,175.847727242
57,1.154,0.0938,20948,4439,4439,150.380124606
58,1.160,0.0830,20576,4097,4097,149.602697865
59,1.229,0.0896,26380,9872,9872,141.34574082
60,1.619,0.11743,19730,3444,3444,107.072121906
61,1.677,0.1049,19524,3265,3265,103.350366734
62,1.697,0.0805,19437,3201,3201,102.122004411
63,1.721,0.8220,19344,3143,3143,100.678638833
64,1.922,0.0856,18700,2520,2520,90.092865751
65,2.088,0.0785,19556,3432,3432,82.97012113
66,2.243,0.0951,19099,2985,2985,77.210935932
67,2.272,0.0872,19258,3211,3211,76.218237435
68,2.274,0.0937,19188,3156,3156,76.150127213
69,2.480,0.9436,,,,
70,2.584,0.0936,17894,2058,2058,66.967634486
71,2.598,0.0911,17852,1994,1994,66.58950824
72,2.653,0.0937,17841,2002,2002,65.198769598
73,2.675,0.1034,17765,1925,1925,64.670590894
74,2.774,0.0611,17970,2029,2029,62.372615681
75,2.984,0.0800,17500,1695,1695,57.966515617
76,3.237,0.1008,17282,1484,1484,53.421469755
77,3.270,0.8332,17235,1438,1438,52.883250048
78,3.311,0.0982,17191,1395,1395,52.22832522
79,3.354,0.0809,17919,2094,2094,51.737167427
80,3.420,0.0853,17841,1986,1986,50.593557329
81,3.448,0.0999,17014,1212,1212,50.157931442
82,3.557,0.0979,17669,1829,1829,48.636045854
83,3.627,0.0818,17549,1744,1744,47.696020248
84,3.674,0.0820,17490,1690,1690,47.083869654
85,3.787,0.1045,17524,1712,1712,45.670547268
86,3.814,0.0824,17412,1630,1630,45.347772672
87,3.893,0.0973,17439,1637,1637,44.416858076
88,4.114,0.0997,17638,1793,1793,42.045133447
89,4.376,0.0855,17206,1307,1307,39.519696865
90,4.456,0.0888,17155,1271,1271,38.808433477
91,4.498,0.0716,17439,1568,1568,38.453566594
92,4.545,0.9220,17216,1262,1262,38.054032985
93,4.675,0.0823,17375,1476,1476,37.955083932
94,4.744,0.8837,17298,1394,1394,36.455609411
95,4.793,0.0875,17083,1246,1246,36.073675978
96,4.817,0.0760,17156,1328,1328,35.894003627
97,4.822,0.8975,17262,1422,1422,35.861095048
98,4.828,0.8909,17210,1381,1381,35.814371883
99,4.874,0.0922,17176,1349,1349,35.476222688
100,4.961,0.0934,17114,1284,1284,34.852855366
