Cenario,BandA,BandB,RTTA,RTTB,Sent,Retrans,Lost,Time
1,0.465,3.674,0.0947,0.0947,17563,518,488,313.754641615
2,0.578,3.237,0.0927,0.0927,17176,490,478,253.183911995
3,0.773,3.627,0.0919,0.0919,16783,297,293,182.572326565
4,0.879,4.817,0.0942,0.0942,16898,582,573,148.624370552
5,0.961,4.874,0.0891,0.0891,16882,595,586,133.807275562
6,0.990,3.787,0.0790,0.0790,16807,474,439,142.418441659
7,1.154,4.793,0.0925,0.0925,16716,499,486,115.0624966
8,1.160,3.270,0.0801,0.0801,16772,498,460,125.081272989
9,1.229,4.456,0.0838,0.0838,16768,586,549,106.931892524
10,1.619,4.822,0.5313,0.5313,16518,461,452,79.943563726
11,1.677,3.420,0.0604,0.0604,16154,73,67,83.581296624
12,1.697,4.961,0.0885,0.0885,16377,343,311,73.771745492
13,1.721,4.545,0.0840,0.0840,16312,285,282,77.210051504
14,1.922,4.498,0.0897,0.0897,16630,629,593,68.373199277
15,2.088,3.354,0.8019,0.8019,16613,555,527,67.29368524
16,2.243,4.675,0.9171,0.9171,16624,644,609,57.234058708
17,2.272,3.311,0.0945,0.0945,16310,314,308,63.016021842
18,2.274,4.828,0.0978,0.0978,16575,638,605,55.801227434
19,2.480,3.814,0.0868,0.0868,16012,151,146,54.74280405
20,2.584,3.557,0.1015,0.1015,16082,223,218,53.481149794
21,2.598,4.376,0.0891,0.0891,16315,404,401,50.331545677
22,2.653,3.448,0.0819,0.0819,16135,224,193,52.261154527
23,2.675,4.744,0.0901,0.0901,16324,426,395,47.454474394
24,2.774,4.114,0.8583,0.8583,16380,456,450,48.05324978
25,2.984,3.893,0.0912,0.0912,16554,656,624,45.642432462
26,3.237,0.578,0.0909,0.0909,16445,572,569,53.739192125
27,3.270,1.160,0.0922,0.0922,16365,504,473,49.836505616
28,3.311,2.272,0.0746,0.0746,16456,583,553,45.82569376
29,3.354,2.088,0.0739,0.0739,15934,138,108,45.416446185
30,3.420,1.677,0.0793,0.0793,15918,125,96,45.747723091
31,3.448,2.653,0.0763,0.0763,15949,162,157,42.797239818
32,3.557,2.584,0.0911,0.0911,16155,296,265,41.619946952
33,3.627,0.773,0.0783,0.0783,16441,638,608,46.64290622
34,3.674,0.465,0.8175,0.8175,15921,109,107,48.332875944
35,3.787,0.990,0.0778,0.0778,16148,337,308,43.502324844
36,3.814,2.480,0.0857,0.0857,15937,138,135,38.948437685
37,3.893,2.984,0.0880,0.0880,16329,479,450,36.814462615
38,4.114,2.774,0.0822,0.0822,16644,741,710,36.369155682
39,4.376,2.598,0.0811,0.0811,16148,283,256,34.488292374
40,4.456,1.229,0.0802,0.0802,16472,581,550,36.676591221
41,4.498,1.922,0.0777,0.0777,16197,317,289,34.317653745
42,4.545,1.721,0.9164,0.9164,16431,565,536,34.625408823
43,4.675,2.243,0.6740,0.6740,16479,620,592,33.027784234
44,4.744,2.675,0.0834,0.0834,16224,338,333,31.345273962
45,4.793,1.154,0.0695,0.0695,16328,486,483,33.910037386
46,4.817,0.879,0.0851,0.0851,16393,588,559,35.280868939
47,4.822,1.619,0.0916,0.0916,16058,247,243,33.231314874
48,4.828,2.274,0.0803,0.0803,16580,786,756,31.345155267
49,4.874,0.961,0.0876,0.0876,15919,156,125,33.829246814
50,4.961,1.697,0.0975,0.0975,16440,659,630,31.616569289
