Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.9517,17505,519,519,373.423389445
2,0.578,0.0922,17364,501,500,300.340818725
3,0.773,0.0947,16770,145,143,224.238400794
4,0.879,0.7707,17143,493,493,197.790577469
5,0.961,0.0858,17390,671,671,180.648898473
6,0.990,0.4183,17227,438,438,175.212754098
7,1.154,0.0809,16948,404,404,150.172290333
8,1.160,0.0914,16984,425,425,149.411095607
9,1.229,0.0824,16962,437,435,141.011436584
10,1.619,0.9214,17074,518,518,107.056299732
11,1.677,0.0749,16221,31,31,104.006446189
12,1.697,0.0748,16395,140,140,101.983949562
13,1.721,0.0871,16502,225,223,100.793255624
14,1.922,0.0821,17205,748,744,90.384451355
15,2.088,0.0922,16819,594,594,82.926515505
16,2.243,0.0712,16804,663,663,77.211737473
17,2.272,0.0827,16289,285,285,76.132307097
18,2.274,0.0773,16459,443,443,76.146257288
19,2.480,0.0843,16068,134,134,69.722869434
20,2.584,0.0893,16151,227,227,66.949477451
21,2.598,0.0898,16575,463,463,66.762565403
22,2.653,0.9314,16159,202,202,65.183193933
23,2.675,0.0793,16330,374,372,64.66263248
24,2.774,0.0725,16251,325,323,62.342645864
25,2.984,0.0903,16837,706,704,58.764336717
26,3.237,0.0841,16746,628,628,53.477949103
27,3.270,0.0805,16367,416,416,53.402830932
28,3.311,0.0953,16736,626,624,52.278803851
29,3.354,0.0797,15779,31,31,51.513857139
30,3.420,0.0890,15818,51,49,50.522432008
31,3.448,0.0862,15998,137,135,50.133904709
32,3.557,0.0785,16144,201,201,48.615521688
33,3.627,0.6923,16657,556,556,47.731947901
34,3.674,0.0879,15965,100,98,47.049027567
35,3.787,0.8071,16174,253,253,45.662621596
36,3.814,0.0904,15943,101,101,45.318430617
37,3.893,0.0798,16314,354,354,44.430609059
38,4.114,0.0809,16578,659,657,42.083427585
39,4.376,0.0877,16134,194,193,40.026434431
40,4.456,0.6314,16653,588,587,38.940149068
41,4.498,0.0954,16152,215,215,38.445821125
42,4.545,0.0900,16475,471,469,38.065189906
43,4.675,0.0907,16561,599,599,37.010471148
44,4.744,0.0790,16245,312,312,36.456568045
45,4.793,0.3558,16381,435,434,36.602622518
46,4.817,0.0987,16417,481,479,35.90902088
47,4.822,0.8179,16105,179,179,35.860327064
48,4.828,0.8804,16709,733,733,35.875221759
49,4.874,0.0859,15876,59,57,35.459146132
50,4.961,0.8144,16806,667,664,35.00183638
