Cenario,BandA,BandB,RTTA,RTTB,SentA,SentB,Sent,Retrans,Lost,Time
1,5,5,0.0812,0.0812,9720,9578,19298,3230,3045,34.985686584
2,5,5,0.3880,0.3880,9122,9232,18354,2388,2255,26.998019622
3,5,5,0.0887,0.0887,9796,9180,18976,3012,2862,29.983847735
4,5,5,0.0866,0.0866,9400,8935,18335,2399,2300,25.144758705
5,5,5,0.1057,0.1057,9233,10555,19788,3742,3473,47.68948714
6,5,5,0.0892,0.0892,9668,9404,19072,3066,2895,32.663131754
7,5,5,0.0894,0.0894,10616,9745,20361,4233,3886,47.918383748
8,5,5,0.0934,0.0934,6414,13898,20312,4172,3809,67.391590405
9,5,5,0.0806,0.0806,6789,12683,19472,3529,3298,50.952652366
10,5,5,0.0918,0.0918,9211,10077,19288,3291,3082,40.442997331
