Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,0.465,0.0955,14202,1237,4,369.496
6,0.578,0.1000,14202,1044,4,297.261
7,0.773,0.1006,14201,1308,4,222.282
8,0.879,0.9357,14201,1043,4,195.478
9,0.961,0.0970,14201,1020,4,178.800
10,0.990,0.0943,14201,1089,4,173.557
11,1.154,0.18172,14202,1277,4,148.892
12,1.160,0.0895,14201,1282,4,148.125
13,1.229,0.8352,14201,1262,4,139.805
14,1.619,0.0831,14202,974,4,106.129
15,1.677,0.0870,14202,1061,4,102.459
16,1.697,0.0920,14202,963,4,101.254
17,1.721,0.0858,14203,1066,4,99.840
18,1.922,0.7739,14201,852,3,89.402
19,2.088,0.0760,14201,949,4,86.375
20,2.243,0.0883,14201,859,3,76.615
21,2.272,0.8437,14201,751,3,75.639
22,2.274,0.0859,14202,959,3,75.564
23,2.480,0.7460,14201,930,3,69.292
24,2.584,0.0967,14201,908,3,66.500
25,2.598,0.6554,14201,889,3,66.141
26,2.653,0.0808,14201,835,3,66.525
27,2.675,0.9293,14202,813,3,64.239
28,2.774,0.1089,14201,733,3,63.921
29,2.984,0.1069,14201,727,3,57.586
30,3.237,0.0894,14200,544,2,53.087
31,3.270,0.0910,14201,615,3,56.035
32,3.311,0.0931,14200,599,2,51.900
33,3.354,0.0805,14201,608,2,51.235
34,3.420,0.0856,14200,478,2,50.245
35,3.448,0.0998,14201,584,2,49.840
36,3.557,0.0793,14201,525,2,48.313
37,3.627,0.0915,14201,562,2,47.378
38,3.674,0.0899,14201,580,2,46.773
39,3.787,0.1040,14201,538,2,45.378
40,3.814,0.8142,14201,575,2,45.058
41,3.893,0.0935,14201,587,2,44.144
42,4.114,0.0900,14200,593,2,41.772
43,4.376,0.1033,14201,571,2,39.270
44,4.456,0.0904,14201,535,2,38.566
45,4.498,0.0935,14201,480,2,38.208
46,4.545,0.10944,14201,574,2,37.815
47,4.675,0.0988,14201,524,2,36.761
48,4.744,0.0845,14201,576,2,36.228
49,4.793,0.1134,14201,580,2,35.856
50,4.817,0.0885,14200,453,2,35.677
51,4.822,0.0795,14201,582,2,35.641
52,4.828,0.0879,14201,575,2,35.596
53,4.874,0.8465,14200,588,2,35.260
54,4.961,0.0981,14201,550,2,34.642
55,0.465,0.0970,14202,1237,4,369.495
56,0.578,0.7783,14202,950,4,297.261
57,0.773,0.5920,14201,1171,4,222.273
58,0.879,0.0873,14201,1141,4,195.472
59,0.961,0.0902,14201,1007,4,178.798
60,0.990,0.0953,14202,1083,4,173.553
61,1.154,0.7776,14201,1119,4,148.893
62,1.160,0.0854,14202,1119,4,148.122
63,1.229,0.0998,14200,1259,4,139.808
64,1.619,0.10311,14202,1114,4,106.133
65,1.677,0.0936,14202,861,4,107.281
66,1.697,0.0985,14202,1074,4,101.253
67,1.721,0.0929,14202,820,4,99.840
68,1.922,0.0886,14201,852,3,89.403
69,2.088,0.0894,14203,999,3,82.295
70,2.243,0.0872,14201,705,3,76.616
71,2.272,0.0899,14201,746,3,75.638
72,2.274,0.0852,14201,948,3,75.563
73,2.480,0.0899,14201,909,3,69.291
74,2.584,0.8735,14201,874,3,68.708
75,2.598,0.0882,14201,890,3,68.018
76,2.653,0.8583,14201,878,3,64.770
77,2.675,0.0836,14201,612,3,64.237
78,2.774,0.0900,14201,793,3,63.659
79,2.984,0.0957,14201,727,3,57.586
80,3.237,0.9254,14200,543,2,53.086
81,3.270,0.0969,14201,500,2,52.552
82,3.311,0.0917,14201,467,2,51.902
