eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
222.24,10.07,560.53,24.14
209.78,6.60,555.48,20.68
209.64,7.19,553.63,18.27
209.63,5.91,555.07,21.76
211.32,6.85,555.64,21.00
209.63,7.50,553.59,17.92
209.65,8.70,555.13,19.14
209.66,6.67,555.15,23.45
211.10,7.71,453.20,18.68
209.62,6.62,555.06,20.74
209.75,5.82,555.40,18.75
211.12,5.99,553.64,22.28
209.64,7.91,555.09,19.48
209.64,6.32,555.11,19.41
209.65,6.34,555.13,19.18
211.12,5.99,555.10,19.51
209.82,5.84,554.10,19.03
209.63,6.26,555.09,20.06
211.12,6.82,484.25,19.37
209.63,6.40,1.48,0.07
209.63,7.50,373.50,13.32
209.63,7.51,555.08,19.97
211.11,6.68,555.08,21.57
209.69,6.24,555.23,21.20
209.61,5.90,553.55,21.94
211.29,5.22,555.55,21.63
209.73,5.89,555.33,20.02
209.61,5.91,553.54,18.61
204.11,5.84,534.36,20.55
