Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.9567,14200,485,366,369.495
2,0.578,0.0868,14200,401,311,297.454
3,0.773,0.0880,14200,143,116,222.270
4,0.879,0.9027,14202,507,389,195.773
5,0.961,0.0923,14200,626,463,179.071
6,0.990,0.0832,14200,372,293,173.555
7,1.154,0.0794,14200,391,304,148.893
8,1.160,0.0871,14200,440,330,148.119
9,1.229,0.1058,14200,392,319,139.946
10,1.619,0.0753,14201,444,345
1,106.320
11,1.677,0.0900,14200,20,15,102.462
12,1.697,0.6687,14200,133,115,101.253
13,1.721,0.0874,14200,148,133,99.841
14,1.922,0.8470,14200,629,464,89.980
15,2.088,0.0908,14200,545,409,82.600
16,2.243,0.0876,14200,588,433,77.883
17,2.272,0.9083,14200,231,191,75.631
18,2.274,0.0884,14200,427,349,75.888
19,2.480,0.9113,14200,111,96,69.287
20,2.584,0.0792,14201,183,154,66.500
21,2.598,0.0892,14200,436,331,66.142
22,2.653,0.0753,14200,189,158,64.980
23,2.675,0.0904,14200,311,259,64.442
24,2.774,0.0920,14200,277,230,61.944
25,2.984,0.0843,14200,668,495,59.850
26,3.237,0.10142,14200,527,399,54.069
27,3.270,0.0924,14200,383,293,52.551
28,3.311,0.0970,14200,570,416,52.428
29,3.354,0.0889,14200,22,18,51.235
30,3.420,0.0514,14200,45,43,50.246
31,3.448,0.0795,14200,95,80,49.940
32,3.557,0.0966,14200,186,156,48.313
33,3.627,0.0871,14202,507,383,48.593
34,3.674,0.0926,14200,75,65,46.774
35,3.787,0.0854,14200,275,230,45.379
36,3.814,0.0932,14200,91,85,45.057
37,3.893,0.9687,14200,296,240,44.142
38,4.114,0.0902,14203,678,485
1,45.139
39,4.376,0.8678,14201,215,174,39.274
40,4.456,0.9354,14200,496,370,38.568
41,4.498,0.0844,14200,220,186,38.210
42,4.545,0.7860,14200,417,319,38.045
43,4.675,0.8808,14201,519,380,39.914
44,4.744,0.9583,14200,262,217,36.227
45,4.793,0.0860,14201,427,330,36.037
46,4.817,0.0914,14200,434,332,35.865
47,4.822,0.0830,14200,171,140,35.639
48,4.828,0.0818,14200,652,485,35.820
49,4.874,0.0864,14200,61,54,35.260
50,4.961,0.7417,14200,598,450,35.211
51,0.465,0.10295,14201,437,320,369.697
52,0.578,0.8340,14201,380,295,297.258
53,0.773,0.0849,14200,130,108,222.274
54,0.879,0.0886,14200,474,347,195.527
55,0.961,0.0839,14202,649,466,183.290
56,0.990,0.0783,14200,434,343,173.553
57,1.154,0.0963,14200,403,301,148.889
58,1.160,0.0795,14200,413,330,148.660
59,1.229,0.1004,14200,381,295,139.806
60,1.619,0.7451,14200,464,357,106.131
61,1.677,0.0777,14201,23,18,102.458
62,1.697,0.0918,14200,124,105,101.255
