eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
594.67,27.27,288.32,13.89
589.08,23.71,277.56,10.16
589.20,24.66,277.62,8.18
589.20,22.76,277.62,10.32
589.07,20.95,277.56,10.21
590.57,22.38,277.57,9.51
481.31,22.20,277.57,8.64
589.00,21.85,277.52,10.69
589.38,24.02,277.70,10.37
221.63,10.50,261.52,9.47
311.65,11.60,0.00,0.07
589.04,22.87,0.00,0.00
485.71,18.76,0.00,0.00
589.53,24.45,0.00,0.00
484.19,19.42,0.00,0.00
484.23,20.38,0.00,0.00
589.11,23.93,0.00,0.00
479.80,20.16,0.00,0.00
589.01,23.79,0.00,0.00
590.56,26.18,0.00,0.00
589.04,23.79,0.00,0.00
482.77,19.39,0.00,0.00
589.06,23.33,0.00,0.00
481.28,18.69,0.00,0.00
589.63,25.97,0.00,0.00
491.60,20.09,0.00,0.04
477.04,23.09,0.00,0.04
589.36,22.25,0.00,0.04
589.04,20.46,0.00,0.04
589.04,24.01,0.00,0.04
589.03,20.57,0.00,0.04
491.63,21.15,0.00,0.00
482.77,20.40,0.00,0.04
589.32,26.18,0.00,0.04
