Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.0995,14200,476,358,370.071
2,0.578,0.0897,14200,454,347,297.353
3,0.773,0.4885,14200,159,131,222.274
4,0.879,0.0928,14200,481,350
1,195.669
5,0.961,0.0785,14201,679,492,179.732
6,0.990,0.0902,14201,401,302,174.758
7,1.154,0.0935,14202,392,311,150.021
8,1.160,0.0900,14200,423,310,148.121
9,1.229,0.0916,14206,414,303,140.540
10,1.619,0.8274,14200,478,362,106.129
11,1.677,0.0868,14201,21,15,102.460
12,1.697,0.0886,14200,133,117,101.252
13,1.721,0.0738,14200,188,162,99.840
14,1.922,0.0904,14200,673,475
1,90.509
15,2.088,0.0938,14200,562,414,82.607
16,2.243,0.0921,14200,564,424,76.958
17,2.272,0.0794,14200,197,164,75.628
18,2.274,0.0863,14200,418,322,76.156
19,2.480,0.0926,14200,117,105,69.288
20,2.584,0.8336,14200,195,166,66.498
21,2.598,0.0841,14200,417,328,66.313
22,2.653,0.0877,14200,231,198,64.769
23,2.675,0.0943,14200,341,275,64.238
24,2.774,0.0773,14200,245,196,61.943
25,2.984,0.11542,14200,605,445,58.701
26,3.237,0.0871,14200,535,393,54.438
27,3.270,0.0993,14200,436,334,52.720
28,3.311,0.0870,14200,560,413,52.952
29,3.354,0.0964,14200,17,16,51.234
30,3.420,0.0995,14200,59,54,50.246
31,3.448,0.0787,14200,117,105,49.837
32,3.557,0.0878,14200,181,149,48.312
33,3.627,0.0817,14200,543,402,47.910
34,3.674,0.0878,14200,83,77,46.774
35,3.787,0.0929,14200,259,203,45.378
36,3.814,0.2041,14200,67,59,45.057
37,3.893,0.0915,14200,355,289,44.143
38,4.114,0.0857,14202,617,448,43.852
39,4.376,0.0893,14200,176,148,39.270
40,4.456,0.1075,14200,465,362,39.106
41,4.498,0.1000,14200,256,211,38.209
42,4.545,0.0888,14200,402,289,38.007
43,4.675,0.0821,14201,540,421,37.476
44,4.744,0.0905,14200,266,218,36.224
45,4.793,0.0904,14200,444,345,36.062
46,4.817,0.0923,14200,469,363,36.074
47,4.822,0.3442,14200,199,159,35.640
48,4.828,0.0809,14200,680,479
1,37.634
49,4.874,0.0771,14200,54,49,36.266
50,4.961,0.0859,14200,543,411,35.373
51,0.465,0.0899,14200,431,311,369.518
52,0.578,0.0946,14200,419,324,297.257
53,0.773,0.0953,14200,136,110,222.272
54,0.879,0.0878,14200,413,317,195.472
55,0.961,0.0882,14200,619,439,179.141
56,0.990,0.0757,14200,392,312,173.681
57,1.154,0.0832,14201,418,327,148.891
58,1.160,0.0831,14200,386,304,148.120
59,1.229,0.0837,14200,370,290,139.806
60,1.619,0.5549,14200,444,337,106.560
61,1.677,0.0804,14200,19,15,102.458
62,1.697,0.0753,14200,122,107,101.252
63,1.721,0.0964,14200,168,148,99.841
64,1.922,0.0952,14200,668,477,89.703
65,2.088,0.5176,14203,542,410
1,83.727
66,2.243,0.0779,14200,596,451,77.121
67,2.272,0.0991,14201,211,177,75.633
68,2.274,0.0798,14200,431,337,75.738
69,2.480,0.0954,14200,107,90,69.286
70,2.584,0.8233,14200,199,165,66.501
71,2.598,0.0888,14200,423,318,66.318
72,2.653,0.0919,14201,223,190,64.770
73,2.675,0.5607,14200,344,276,65.239
74,2.774,0.0812,14200,282,231,61.946
75,2.984,0.3884,14206,655,470,61.085
76,3.237,0.0838,14200,563,409,53.811
77,3.270,0.5478,14200,397,298,52.742
78,3.311,0.0906,14200,530,399,52.071
79,3.354,0.0987,14200,16,16,51.233
80,3.420,0.9590,14200,56,53,50.244
81,3.448,0.0890,14200,116,103,49.838
82,3.557,0.0713,14200,175,143,48.310
83,3.627,0.0920,14200,526,413,47.916
84,3.674,0.4042,14200,67,65,46.774
85,3.787,0.0982,14202,264,224,45.582
86,3.814,0.0932,14200,90,79,45.056
87,3.893,0.1000,14200,383,284,44.322
88,4.114,0.4161,14200,692,486,44.070
89,4.376,0.0993,14200,169,145,39.271
90,4.456,0.0823,14200,476,356,39.121
91,4.498,0.3780,14200,223,195,38.206
92,4.545,0.0998,14200,406,321,37.810
93,4.675,0.0910,14202,528,391,37.326
94,4.744,0.3496,14200,296,252,36.226
95,4.793,0.0922,14200,383,290,36.450
96,4.817,0.0785,14200,463,359,35.979
97,4.822,0.8500,14200,172,140,35.640
98,4.828,0.0947,14200,707,517
1,37.435
99,4.874,0.0921,14200,60,52,35.259
100,4.961,0.9176,14200,582,430,36.290
101,0.465,0.0847,14200,442,323,369.492
102,0.578,0.0950,14202,436,337,297.737
103,0.773,0.0839,14200,139,119,222.272
104,0.879,0.0876,14200,452,336,195.469
105,0.961,0.0793,14201,633,471,178.895
106,0.990,0.0990,14200,383,298,173.554
107,1.154,0.0849,14200,390,292,149.018
108,1.160,0.0818,14200,407,331,148.120
109,1.229,0.0780,14200,420,319,139.804
110,1.619,0.0962,14202,449,353
1,106.297
111,1.677,0.0865,14200,20,11,102.457
112,1.697,0.3968,14200,124,104,101.251
113,1.721,0.0816,14200,179,153,99.840
114,1.922,0.0956,14203,591,435,91.087
115,2.088,0.4178,14200,506,366,82.754
