eth0-in,eth0-out,eth1-in,eth1-out
284.90,12.09,577.68,23.41
274.59,10.61,569.85,22.01
273.36,10.26,571.84,21.45
273.12,11.18,569.86,23.45
274.82,8.09,571.55,16.75
273.10,13.35,569.83,33.51
274.72,12.49,570.88,35.49
225.88,6.42,571.35,34.54
274.63,6.71,570.34,32.53
273.12,6.71,569.85,32.37
273.10,6.64,570.59,14.22
274.83,6.72,571.82,13.94
273.12,6.71,569.86,20.88
274.61,9.31,400.69,15.74
273.12,6.78,289.36,7.36
274.73,6.64,436.28,10.40
273.09,6.71,569.79,13.92
274.53,6.71,385.23,9.38
273.15,15.39,527.11,12.41
273.12,16.96,569.87,13.85
274.59,17.05,78.24,1.95
273.10,16.82,0.00,0.00
274.57,13.09,177.04,4.98
273.23,6.64,571.57,13.93
274.93,6.72,570.55,13.94
273.31,6.72,570.83,13.94
273.11,6.64,569.84,13.93
274.72,6.71,571.60,13.93
273.15,6.71,569.93,13.93
274.61,6.64,571.36,13.93
273.12,6.71,569.86,14.00
274.56,6.71,571.25,13.92
273.21,6.71,570.05,13.93
273.13,6.64,571.36,14.00
274.59,6.71,569.85,13.93
273.14,6.71,571.37,13.93
274.61,6.71,569.88,13.93
273.36,6.64,571.84,13.94
274.59,6.71,569.86,14.00
273.20,6.71,571.50,13.86
273.12,6.64,569.86,14.00
274.63,6.71,571.41,13.93
273.10,6.71,143.72,3.61
11.95,0.36,0.07,0.07
