Cenario,BandA,BandB,RTTA,RTTB,Sent,Retrans,Lost,Time
1,0.465,3.674,0.0968,0.1294,23915,322,1,114.496
2,0.578,3.237,0.0859,0.1501,24824,553,2,105.030
3,0.773,3.627,0.1001,0.11114,25908,1001,3,110.685
4,0.879,4.817,0.1078,0.1527,25029,335,2,78.228
5,0.961,4.874,0.1053,0.1593,24687,537,3,68.424
6,0.990,3.787,0.6443,0.9205,23245,789,3,70.656
7,1.154,4.793,0.0975,0.12020,25408,670,2,64.709
8,1.160,3.270,0.0885,0.1460,23848,661,3,71.018
9,1.229,4.456,0.0925,0.1493,23231,630,3,56.918
10,1.619,4.822,0.0953,0.1480,22676,809,3,46.357
11,1.677,3.420,0.0878,0.8233,22982,944,3,58.366
12,1.697,4.961,0.0883,0.1269,23725,625,3,48.182
13,1.721,4.545,0.34239,0.8505,22743,622,3,47.938
14,1.922,4.498,0.0913,0.1279,22727,785,3,47.154
15,2.088,3.354,0.0852,0.1628,22166,354,3,51.029
16,2.243,4.675,0.0860,0.11070,22771,1095,3,43.098
17,2.272,3.311,0.0836,0.1831,21992,437,4,54.302
18,2.274,4.828,0.0960,0.7205,22985,873,3,41.169
19,2.480,3.814,0.0909,0.1736,21996,249,3,45.383
20,2.584,3.557,0.0970,0.1467,22032,438,3,46.629
21,2.598,4.376,0.0900,0.1242,22389,681,3,40.227
22,2.653,3.448,0.0950,0.9942,21869,966,3,46.602
23,2.675,4.744,0.0909,0.4277,22388,746,4,38.144
24,2.774,4.114,0.0951,0.9615,22274,346,4,41.595
25,2.984,3.893,0.0829,0.7573,22331,1142,4,42.224
26,3.237,0.578,0.0915,0.7722,24342,442,2,103.633
27,3.270,1.160,0.1022,0.1812,22674,347,3,67.416
28,3.311,2.272,0.7848,0.1591,22117,1133,3,52.507
29,3.354,2.088,0.0848,0.1646,22013,1290,4,55.612
30,3.420,1.677,0.0774,0.1426,23844,355,3,69.913
31,3.448,2.653,0.7380,0.1671,22093,802,3,45.050
32,3.557,2.584,0.0810,0.1487,22028,1100,3,46.636
33,3.627,0.773,0.0936,0.9566,24538,534,2,91.491
34,3.674,0.465,0.0926,0.9721,23925,416,2,92.773
35,3.787,0.990,0.0555,0.1505,25377,322,2,81.743
36,3.814,2.480,0.0786,0.1228,22329,914,3,46.361
37,3.893,2.984,0.0889,0.1367,22125,1134,3,41.783
38,4.114,2.774,0.0938,0.1300,22307,836,3,41.671
39,4.376,2.598,0.0971,0.1342,22390,570,3,40.909
40,4.456,1.229,0.8916,0.1106,25026,384,2,63.482
41,4.498,1.922,0.0983,0.8994,22682,882,3,44.948
42,4.545,1.721,0.0900,0.1344,23544,756,3,51.098
43,4.675,2.243,0.1090,0.1643,22297,1150,3,43.731
44,4.744,2.675,0.0950,0.1599,23055,974,3,39.260
45,4.793,1.154,0.0965,0.1325,23728,559,3,61.520
46,4.817,0.879,0.0882,0.9220,24372,596,3,69.367
47,4.822,1.619,0.0835,0.8780,22661,481,3,45.204
48,4.828,2.274,0.0895,0.1400,22477,1094,3,43.051
49,4.874,0.961,0.0910,0.1279,24806,500,1,76.538
50,4.961,1.697,0.0806,0.1237,22466,312,2,43.374
