Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.9434,21301,2247,7,554.350
2,0.578,0.0861,21300,1715,7,458.737
3,0.773,0.0923,21300,1915,6,333.472
4,0.879,0.0981,21300,1689,6,293.259
5,0.961,0.0851,21300,1775,6,268.238
6,0.990,0.0919,21299,1724,6,260.382
7,1.154,0.0940,21301,1870,6,223.381
8,1.160,0.8381,21300,1838,6,222.221
9,1.229,0.1194,21299,1894,6,209.746
10,1.619,0.0975,21299,1677,6,159.222
11,1.677,0.0934,21299,1452,5,153.722
12,1.697,0.0909,21301,1283,5,151.905
13,1.721,0.0976,21301,1662,6,149.790
14,1.922,0.1023,21300,1396,5,134.124
15,2.088,0.0937,21299,1365,5,123.463
16,2.243,0.0946,21299,820,4,114.930
17,2.272,0.6215,21299,1200,5,116.549
18,2.274,0.8505,21299,1195,5,113.362
19,2.480,0.0849,21299,1109,4,103.946
20,2.584,0.1003,21298,1050,4,99.763
21,2.598,0.1011,21299,1040,4,99.228
22,2.653,0.0961,21299,1026,4,97.168
23,2.675,0.1008,21299,1066,4,96.370
24,2.774,0.0868,21299,1003,4,92.932
25,2.984,0.0878,21300,969,4,86.392
26,3.237,0.0998,21299,944,4,79.640
27,3.270,0.7612,21299,961,4,78.838
28,3.311,0.0984,21299,949,4,77.860
29,3.354,0.0977,21300,912,4,76.864
30,3.420,0.1029,21298,905,4,75.378
31,3.448,0.0878,21299,927,4,74.771
32,3.557,0.0919,21298,886,4,72.475
33,3.627,0.0771,21299,735,4,71.080
34,3.674,0.2761,21298,713,4,70.170
35,3.787,0.0985,21298,682,4,69.967
36,3.814,0.9772,21298,922,4,67.591
37,3.893,0.0882,21298,871,4,66.229
38,4.114,0.0914,21298,824,4,63.953
39,4.376,0.0949,21298,781,4,61.043
40,4.456,0.2404,21298,665,3,57.962
41,4.498,0.5225,21299,570,3,57.316
42,4.545,0.0880,21298,730,3,56.723
43,4.675,0.0967,21298,725,3,55.145
44,4.744,0.1061,21299,725,3,54.346
45,4.793,0.0920,21298,722,3,53.788
46,4.817,0.0963,21298,643,3,53.518
47,4.822,0.0848,21298,720,3,53.466
48,4.828,0.0957,21299,722,3,53.397
49,4.874,0.0838,21298,721,3,52.894
50,4.961,0.0934,21297,705,3,51.967
