Cenario,BandA,BandB,RTTA,RTTB,Sent,Retrans,Lost,Time
1,0.465,3.674,0.1003,0.1429,15507,933,3,318.332
2,0.578,3.237,0.0764,0.1764,15645,1194,3,259.579
3,0.773,3.627,0.9484,0.1332,15515,1147,3,190.238
4,0.879,4.817,0.0924,0.1640,14988,1140,3,143.375
5,0.961,4.874,0.0825,0.9310,14987,1403,3,130.540
6,0.990,3.787,0.8564,0.1496,15703,1131,3,148.992
7,1.154,4.793,0.0834,0.1638,15399,787,3,109.441
8,1.160,3.270,0.1042,0.5320,15470,814,3,129.272
9,1.229,4.456,0.0833,0.1510,15360,1192,3,105.436
10,1.619,4.822,0.6857,0.9785,16906,1261,4,91.887
11,1.677,3.420,0.8613,0.1352,15792,1166,3,91.202
12,1.697,4.961,0.1069,0.10980,15666,1111,3,79.844
13,1.721,4.545,0.0817,0.1197,15450,791,3,75.269
14,1.922,4.498,0.0809,0.1519,15070,1141,3,67.661
15,2.088,3.354,0.0867,0.15472,15666,898,3,71.835
16,2.243,4.675,0.0765,0.1468,15348,854,3,58.483
17,2.272,3.311,0.0769,0.1468,15697,936,3,68.552
18,2.274,4.828,0.0972,0.1543,15409,554,3,56.188
19,2.480,3.814,0.1068,0.1600,15385,926,3,58.091
20,2.584,3.557,0.0849,0.1382,15054,1888,3,55.619
21,2.598,4.376,0.9765,0.1732,15550,1265,3,54.134
22,2.653,3.448,0.8160,0.1533,15136,900,3,54.545
23,2.675,4.744,0.0769,0.1281,15765,769,3,52.673
24,2.774,4.114,0.0934,0.1166,15502,811,3,57.258
25,2.984,3.893,0.0772,0.9270,16161,1028,3,50.443
26,3.237,0.578,0.0893,0.1532,14591,501,2,52.015
27,3.270,1.160,0.0765,0.3967,15026,670,2,50.490
28,3.311,2.272,0.8874,0.9788,14890,586,2,47.358
29,3.354,2.088,0.8783,0.1363,14413,627,2,46.775
30,3.420,1.677,0.0780,0.19356,15373,208,1,46.201
31,3.448,2.653,0.0867,0.1450,15128,1014,3,43.763
32,3.557,2.584,0.0957,0.5735,15186,640,2,41.911
33,3.627,0.773,0.0919,0.9132,14955,533,2,45.894
34,3.674,0.465,0.0947,0.1020,14602,402,2,46.137
35,3.787,0.990,0.0924,0.4979,14766,360,2,43.379
36,3.814,2.480,0.0893,0.1301,15109,578,2,40.557
37,3.893,2.984,0.1001,0.1366,14844,302,2,37.066
38,4.114,2.774,0.0952,0.1802,15715,118,2,35.623
39,4.376,2.598,0.0851,0.1444,15270,179,1,35.034
40,4.456,1.229,0.0797,0.1384,14950,526,3,36.336
41,4.498,1.922,0.0859,0.1420,15157,282,2,35.184
42,4.545,1.721,0.0988,0.1414,14957,447,2,34.590
43,4.675,2.243,0.0870,0.1112,14925,419,2,32.667
44,4.744,2.675,0.1004,0.1586,14660,270,2,31.706
45,4.793,1.154,0.0870,0.1291,15213,828,2,35.097
46,4.817,0.879,0.9047,0.1433,14820,532,2,34.388
47,4.822,1.619,0.0726,0.1053,15681,311,2,33.243
48,4.828,2.274,0.0909,0.1529,14852,637,2,32.184
49,4.874,0.961,0.0835,0.1587,14874,496,3,33.844
50,4.961,1.697,0.0871,0.4634,15245,824,2,33.254
