Cenario,BandA,BandB,RTTA,RTTB,Sent,Retrans,Lost,Time
1,0.465,3.674,0.0878,0.1698,15977,577,2,63.265
2,0.578,3.237,0.1080,0.1592,15455,197,1,65.787
3,0.773,3.627,0.1030,0.8794,16462,851,3,64.517
4,0.879,4.817,0.0870,0.8662,16989,515,2,56.989
5,0.961,4.874,0.0961,0.9148,15815,633,2,42.123
6,0.990,3.787,0.0937,0.1415,16224,736,3,51.710
7,1.154,4.793,0.0686,0.7856,16733,680,3,45.781
8,1.160,3.270,0.9073,0.1847,15641,700,3,48.204
9,1.229,4.456,0.0890,0.7948,16233,723,3,44.191
10,1.619,4.822,0.0880,0.1282,15868,561,3,37.710
11,1.677,3.420,0.0891,0.1571,15071,339,3,43.134
12,1.697,4.961,0.0820,0.1781,16013,505,3,34.272
13,1.721,4.545,0.0917,0.1578,14860,376,2,31.258
14,1.922,4.498,0.1055,0.1235,15246,530,3,32.925
15,2.088,3.354,0.0837,0.10164,15224,792,3,42.200
16,2.243,4.675,0.1001,0.1665,15933,741,3,29.990
17,2.272,3.311,0.5832,0.9372,14867,834,3,35.231
18,2.274,4.828,0.0840,0.1194,15527,581,3,28.358
19,2.480,3.814,0.0996,0.0892,14593,450,3,30.899
20,2.584,3.557,0.9654,0.1302,14923,1108,3,32.055
21,2.598,4.376,0.6620,0.1430,15357,1346,4,31.289
22,2.653,3.448,0.8277,0.1677,15785,1666,3,35.745
23,2.675,4.744,0.9788,0.1272,15497,944,3,27.959
24,2.774,4.114,0.0804,0.1532,16015,1701,3,32.648
25,2.984,3.893,0.0858,0.1422,14825,788,2,27.404
26,3.237,0.578,0.1012,0.5081,15109,614,2,62.534
27,3.270,1.160,0.0886,0.1662,15184,391,3,54.178
28,3.311,2.272,0.0771,0.1665,15225,852,3,37.705
29,3.354,2.088,0.0850,0.1334,14918,1249,3,36.408
30,3.420,1.677,0.0897,0.1589,16386,1218,4,46.030
31,3.448,2.653,0.0953,0.1518,14588,456,4,32.448
32,3.557,2.584,0.0900,0.1517,14727,866,3,37.139
33,3.627,0.773,0.10597,0.1520,15665,393,1,55.618
34,3.674,0.465,0.0853,0.9890,15290,608,2,65.321
35,3.787,0.990,0.0966,0.1310,16645,412,2,54.925
36,3.814,2.480,0.0914,0.1252,14982,910,3,31.601
37,3.893,2.984,0.0906,0.1685,14693,981,3,27.941
38,4.114,2.774,0.0838,0.1302,15704,1723,3,32.387
39,4.376,2.598,0.1008,0.1805,14806,503,3,27.847
40,4.456,1.229,0.1018,0.1327,15923,400,2,39.454
41,4.498,1.922,0.1028,0.1348,15987,1007,3,34.918
42,4.545,1.721,0.0867,0.9967,14868,375,2,29.101
43,4.675,2.243,0.0814,0.1383,15150,1563,4,32.937
44,4.744,2.675,0.0882,0.1330,14703,1262,3,26.454
45,4.793,1.154,0.9557,0.1599,16065,430,2,45.052
46,4.817,0.879,0.9385,0.1506,16054,273,2,51.655
47,4.822,1.619,0.8475,0.1499,15398,429,2,34.056
48,4.828,2.274,0.8755,0.1349,15488,907,3,29.338
49,4.874,0.961,0.0969,0.5915,16256,616,3,44.732
50,4.961,1.697,0.0882,0.1248,15020,361,2,29.389
51,0.465,3.674,0.0875,0.1554,15822,432,1,76.447
52,0.578,3.237,0.1029,0.8253,15835,493,2,63.295
53,0.773,3.627,0.0852,0.9677,15645,362,2,57.455
54,0.879,4.817,0.1025,0.8218,16998,500,2,59.358
55,0.961,4.874,0.0918,0.2227,16186,300,1,48.515
56,0.990,3.787,0.0990,0.5134,15994,294,2,49.717
57,1.154,4.793,0.0992,0.1555,16351,442,1,47.663
58,1.160,3.270,0.0777,0.1432,15383,413,3,47.856
59,1.229,4.456,0.0741,0.1343,16012,404,3,40.000
60,1.619,4.822,0.8763,0.1766,15145,523,3,32.164
61,1.677,3.420,0.0906,0.1375,17621,1251,4,47.367
62,1.697,4.961,0.8229,0.1066,15507,788,2,34.521
63,1.721,4.545,0.8913,0.1416,15408,409,3,34.469
64,1.922,4.498,0.0895,0.9540,15109,481,2,30.922
65,2.088,3.354,0.0974,0.1314,14880,592,3,35.977
66,2.243,4.675,0.0966,0.1220,15781,937,3,30.873
67,2.272,3.311,0.0873,0.1552,14579,463,3,34.104
68,2.274,4.828,0.0787,0.1504,15848,968,3,30.289
69,2.480,3.814,0.0910,0.35678,14949,815,3,32.699
70,2.584,3.557,0.0955,0.9988,15023,1336,4,34.067
71,2.598,4.376,0.0945,0.1322,14934,1343,3,30.077
72,2.653,3.448,0.0875,0.1334,14639,1078,3,31.427
73,2.675,4.744,0.0912,0.1505,15156,644,3,28.044
74,2.774,4.114,0.0983,0.1265,14633,570,4,29.834
