Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.0964,14202,1237,4,369.492
2,0.578,0.7477,14202,950,4,297.260
3,0.773,0.0797,14203,1237,4,222.274
4,0.879,0.0878,14201,1084,4,195.478
5,0.961,0.0905,14201,1009,4,178.799
6,0.990,0.0884,14200,981,4,173.565
7,1.154,0.0849,14202,1238,4,148.893
8,1.160,0.1010,14201,1109,4,148.122
9,1.229,0.0963,14200,1262,4,139.807
10,1.619,0.0877,14202,889,4,110.582
11,1.677,0.0960,14202,1068,4,102.459
12,1.697,0.0895,14202,1069,4,101.253
13,1.721,0.0886,14201,1106,4,99.846
14,1.922,0.1017,14203,769,3,89.399
15,2.088,0.1027,14202,1002,3,82.295
16,2.243,0.0988,14202,969,3,76.607
17,2.272,0.0975,14202,971,3,75.637
18,2.274,0.0953,14201,956,3,75.562
19,2.480,0.0967,14200,909,3,69.291
20,2.584,0.8926,14201,880,3,66.503
21,2.598,0.7159,14201,884,3,66.145
22,2.653,0.0587,14201,883,3,66.985
23,2.675,0.0888,14201,842,3,65.957
24,2.774,0.8151,14201,815,3,63.590
25,2.984,0.7357,14201,725,3,57.586
26,3.237,0.8657,14201,544,2,53.085
27,3.270,0.0870,14201,627,3,54.574
28,3.311,0.0878,14200,479,2,51.898
29,3.354,0.0866,14201,608,2,51.236
30,3.420,0.0923,14200,478,2,50.244
31,3.448,0.1041,14200,472,2,49.837
32,3.557,0.1012,14200,599,2,48.309
33,3.627,0.0879,14201,562,2,47.376
34,3.674,0.8345,14201,581,2,46.772
35,3.787,0.0874,14201,537,2,45.375
36,3.814,0.0871,14201,575,2,45.056
37,3.893,0.0899,14200,516,2,44.143
38,4.114,0.0998,14201,599,2,41.768
39,4.376,0.0978,14201,541,2,39.270
40,4.456,0.0834,14201,553,2,38.565
41,4.498,0.0859,14201,477,2,38.209
42,4.545,0.10178,14201,573,2,37.811
43,4.675,0.8868,14200,562,2,36.757
44,4.744,0.0958,14201,574,2,36.223
45,4.793,0.0990,14201,582,2,35.855
46,4.817,0.1030,14201,575,2,35.677
47,4.822,0.0970,14201,581,2,35.640
48,4.828,0.1110,14201,581,2,35.598
49,4.874,0.0798,14201,521,2,35.260
50,4.961,0.1079,14201,581,2,34.641
51,0.465,0.0894,14202,1172,4,369.494
52,0.578,0.1007,14202,950,4,297.259
53,0.773,0.5772,14201,1134,4,222.271
54,0.879,0.0813,14201,987,4,195.467
55,0.961,0.0829,14201,1009,4,178.799
56,0.990,0.0822,14202,1090,4,173.554
57,1.154,0.0885,14201,1272,4,148.892
58,1.160,0.1007,14202,1275,4,148.121
59,1.229,0.0995,14201,1099,4,139.806
60,1.619,0.0921,14201,1114,4,106.129
61,1.677,0.7716,14202,1084,4,102.458
62,1.697,0.0822,14201,1074,4,101.252
63,1.721,0.9988,14202,1056,4,106.872
64,1.922,0.1050,14201,1096,4,89.403
65,2.088,0.9014,14202,962,3,82.292
66,2.243,0.0886,14202,967,3,76.612
67,2.272,0.0909,14201,750,3,75.635
68,2.274,0.6658,14202,968,3,75.564
69,2.480,0.1051,14200,909,3,69.297
70,2.584,0.0862,14201,893,3,66.501
71,2.598,0.0836,14201,890,3,68.020
72,2.653,0.0849,14201,879,3,64.771
73,2.675,0.0806,14201,872,3,64.235
74,2.774,0.0881,14201,814,3,61.946
75,2.984,0.0910,14201,593,3,59.726
76,3.237,0.0870,14200,512,2,53.087
77,3.270,0.1015,14201,626,3,52.548
78,3.311,0.0899,14201,582,2,51.898
79,3.354,0.0860,14201,608,2,51.234
80,3.420,0.0809,14200,478,2,50.243
81,3.448,0.6705,14201,588,2,49.836
82,3.557,0.0825,14201,592,2,48.309
83,3.627,0.1051,14201,562,2,47.377
84,3.674,0.0830,14201,581,2,46.771
85,3.787,0.0902,14200,516,2,45.376
86,3.814,0.0894,14201,499,2,45.054
87,3.893,0.0831,14201,520,2,44.140
88,4.114,0.9546,14200,589,2,41.769
89,4.376,0.0903,14201,594,2,39.269
90,4.456,0.0942,14201,431,2,38.566
91,4.498,0.5912,14201,530,2,38.204
92,4.545,0.0934,14201,573,2,37.808
93,4.675,0.8328,14201,576,2,36.759
94,4.744,0.0967,14201,576,2,36.228
95,4.793,0.0917,14200,537,2,35.853
96,4.817,0.0943,14201,579,2,35.675
97,4.822,0.0887,14201,580,2,35.641
98,4.828,0.0942,14201,581,2,35.594
99,4.874,0.8369,14201,589,2,35.258
100,4.961,0.0940,14201,581,2,34.642
