Cenario,Band,RTT,Sent,Retrans,Lost,Time
1,0.465,0.0737,14200,452,346,369.514
2,0.578,0.0822,14200,407,320,297.255
3,0.773,0.0955,14200,160,124,222.321
4,0.879,0.0866,14200,481,371,195.570
5,0.961,0.0795,14200,604,446,180.385
6,0.990,0.0807,14200,347,265,173.552
7,1.154,0.0867,14200,368,292,148.891
8,1.160,0.0905,14200,384,298,148.250
9,1.229,0.9221,14200,416,312,139.804
10,1.619,0.0734,14202,422,318,106.330
11,1.677,0.0891,14201,21,18,102.457
12,1.697,0.10597,14200,123,108,101.454
13,1.721,0.0981,14200,184,160,99.837
14,1.922,0.0774,14200,636,452,91.178
15,2.088,0.0978,14200,516,381,83.048
16,2.243,0.0989,14201,596,432,78.086
17,2.272,0.0910,14201,237,195,75.627
18,2.274,0.10380,14200,448,343,75.561
19,2.480,0.0922,14200,130,114,69.286
20,2.584,0.4537,14200,173,146,66.496
21,2.598,0.0862,14200,407,317,66.139
22,2.653,0.0853,14200,221,189,64.766
23,2.675,0.0822,14200,333,263,64.405
24,2.774,0.0803,14200,281,219,62.149
25,2.984,0.7857,14200,610,457,57.584
26,3.237,0.1008,14200,554,399,53.455
27,3.270,0.0815,14200,371,294,52.552
28,3.311,0.0878,14201,535,394,51.908
29,3.354,0.0873,14200,20,18,51.233
30,3.420,0.0832,14200,33,29,50.247
31,3.448,0.0867,14200,135,114,49.844
32,3.557,0.0905,14200,163,141,48.309
33,3.627,0.0894,14200,523,377,47.544
34,3.674,0.0877,14200,71,63,46.773
35,3.787,0.0974,14206,282,230,45.579
36,3.814,0.0847,14200,85,77,45.053
37,3.893,0.0942,14201,307,250,44.142
38,4.114,0.0950,14200,667,480,43.397
39,4.376,0.0982,14200,180,152,39.478
40,4.456,0.0982,14201,494,397,39.394
41,4.498,0.0885,14200,219,186,38.204
42,4.545,0.1012,14200,423,315,38.178
43,4.675,0.0843,14200,519,391,37.493
44,4.744,0.8684,14200,255,215,36.228
45,4.793,0.0899,14200,440,345,35.855
46,4.817,0.0885,14200,451,339,36.590
47,4.822,0.0871,14200,168,139,35.639
48,4.828,0.0929,14200,676,507,36.897
49,4.874,0.0901,14200,60,54,35.259
50,4.961,0.0896,14200,557,414,36.419
